time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.54,2.126,0.011
2016-01-01,US-Bi2,0.531,2.129,0.011
2016-01-01,US-Tw3,0.288,2.13,0.006
2016-01-01,US-Twt,0.868,2.125,0.018
2016-01-02,US-Bi1,0.714,2.126,0.015
2016-01-02,US-Bi2,0.727,2.129,0.015
2016-01-02,US-Tw3,0.374,2.13,0.008
2016-01-02,US-Twt,1.131,2.125,0.024
2016-01-03,US-Bi1,0.704,2.126,0.015
2016-01-03,US-Bi2,0.745,2.129,0.016
2016-01-03,US-Tw3,0.354,2.13,0.008
2016-01-03,US-Twt,1.075,2.125,0.023
2016-01-04,US-Bi1,0.465,2.126,0.01
2016-01-04,US-Bi2,0.509,2.129,0.011
2016-01-04,US-Tw3,0.222,2.13,0.005
2016-01-04,US-Twt,0.676,2.125,0.014
2016-01-05,US-Bi1,0.404,2.126,0.009
2016-01-05,US-Bi2,0.456,2.129,0.01
2016-01-05,US-Tw3,0.198,2.13,0.004
2016-01-05,US-Twt,0.605,2.125,0.013
2016-01-06,US-Bi1,0.457,2.126,0.01
2016-01-06,US-Bi2,0.534,2.129,0.011
2016-01-06,US-Tw3,0.231,2.13,0.005
2016-01-06,US-Twt,0.706,2.125,0.015
2016-01-07,US-Bi1,0.283,2.126,0.006
2016-01-07,US-Bi2,0.341,2.129,0.007
2016-01-07,US-Tw3,0.147,2.13,0.003
2016-01-07,US-Twt,0.451,2.125,0.01
2016-01-08,US-Bi1,0.393,2.126,0.008
2016-01-08,US-Bi2,0.489,2.129,0.01
2016-01-08,US-Tw3,0.18,2.13,0.004
2016-01-08,US-Twt,0.552,2.125,0.012
2016-01-09,US-Bi1,0.445,2.126,0.009
2016-01-09,US-Bi2,0.571,2.129,0.012
2016-01-09,US-Tw3,0.244,2.13,0.005
2016-01-09,US-Twt,0.751,2.125,0.016
2016-01-10,US-Bi1,0.496,2.126,0.011
2016-01-10,US-Bi2,0.656,2.129,0.014
2016-01-10,US-Tw3,0.28,2.13,0.006
2016-01-10,US-Twt,0.862,2.125,0.018
2016-01-11,US-Bi1,0.547,2.126,0.012
2016-01-11,US-Bi2,0.744,2.129,0.016
2016-01-11,US-Tw3,0.348,2.13,0.007
2016-01-11,US-Twt,1.074,2.125,0.023
2016-01-12,US-Bi1,0.542,2.126,0.012
2016-01-12,US-Bi2,0.759,2.129,0.016
2016-01-12,US-Tw3,0.29,2.13,0.006
2016-01-12,US-Twt,0.896,2.125,0.019
2016-01-13,US-Bi1,0.698,2.126,0.015
2016-01-13,US-Bi2,1.007,2.129,0.021
2016-01-13,US-Tw3,0.426,2.13,0.009
2016-01-13,US-Twt,1.319,2.125,0.028
2016-01-14,US-Bi1,0.319,2.126,0.007
2016-01-14,US-Bi2,0.474,2.129,0.01
2016-01-14,US-Tw3,0.2,2.13,0.004
2016-01-14,US-Twt,0.62,2.125,0.013
2016-01-15,US-Bi1,0.369,2.126,0.008
2016-01-15,US-Bi2,0.564,2.129,0.012
2016-01-15,US-Tw3,0.203,2.13,0.004
2016-01-15,US-Twt,0.631,2.125,0.013
2016-01-16,US-Bi1,0.469,2.126,0.01
2016-01-16,US-Bi2,0.739,2.129,0.016
2016-01-16,US-Tw3,0.31,2.13,0.007
2016-01-16,US-Twt,0.964,2.125,0.02
2016-01-17,US-Bi1,0.362,2.126,0.008
2016-01-17,US-Bi2,0.585,2.129,0.012
2016-01-17,US-Tw3,0.21,2.13,0.004
