time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.662,2.126,0.014
2016-01-01,US-Bi2,1.11,2.129,0.024
2016-01-01,US-Tw3,0.502,2.13,0.011
2016-01-01,US-Twt,1.376,2.125,0.029
2016-01-02,US-Bi1,0.868,2.126,0.018
2016-01-02,US-Bi2,1.464,2.129,0.031
2016-01-02,US-Tw3,0.627,2.13,0.013
2016-01-02,US-Twt,1.744,2.125,0.037
2016-01-03,US-Bi1,0.824,2.126,0.018
2016-01-03,US-Bi2,1.449,2.129,0.031
2016-01-03,US-Tw3,0.571,2.13,0.012
2016-01-03,US-Twt,1.612,2.125,0.034
2016-01-04,US-Bi1,0.537,2.126,0.011
2016-01-04,US-Bi2,0.956,2.129,0.02
2016-01-04,US-Tw3,0.344,2.13,0.007
2016-01-04,US-Twt,0.987,2.125,0.021
2016-01-05,US-Bi1,0.46,2.126,0.01
2016-01-05,US-Bi2,0.828,2.129,0.018
2016-01-05,US-Tw3,0.295,2.13,0.006
2016-01-05,US-Twt,0.86,2.125,0.018
2016-01-06,US-Bi1,0.513,2.126,0.011
2016-01-06,US-Bi2,0.936,2.129,0.02
2016-01-06,US-Tw3,0.33,2.13,0.007
2016-01-06,US-Twt,0.978,2.125,0.021
2016-01-07,US-Bi1,0.313,2.126,0.007
2016-01-07,US-Bi2,0.579,2.129,0.012
2016-01-07,US-Tw3,0.202,2.13,0.004
2016-01-07,US-Twt,0.609,2.125,0.013
2016-01-08,US-Bi1,0.428,2.126,0.009
2016-01-08,US-Bi2,0.801,2.129,0.017
2016-01-08,US-Tw3,0.237,2.13,0.005
2016-01-08,US-Twt,0.727,2.125,0.015
2016-01-09,US-Bi1,0.477,2.126,0.01
2016-01-09,US-Bi2,0.906,2.129,0.019
2016-01-09,US-Tw3,0.31,2.13,0.007
2016-01-09,US-Twt,0.965,2.125,0.021
2016-01-10,US-Bi1,0.523,2.126,0.011
2016-01-10,US-Bi2,1.008,2.129,0.021
2016-01-10,US-Tw3,0.341,2.13,0.007
