time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.439,2.126,0.009
2016-01-01,US-Bi2,0.541,2.129,0.012
2016-01-01,US-Tw3,0.578,2.13,0.012
2016-01-01,US-Twt,0.988,2.125,0.021
2016-01-02,US-Bi1,0.582,2.126,0.012
2016-01-02,US-Bi2,0.734,2.129,0.016
2016-01-02,US-Tw3,0.739,2.13,0.016
2016-01-02,US-Twt,1.27,2.125,0.027
2016-01-03,US-Bi1,0.581,2.126,0.012
2016-01-03,US-Bi2,0.747,2.129,0.016
2016-01-03,US-Tw3,0.689,2.13,0.015
2016-01-03,US-Twt,1.191,2.125,0.025
2016-01-04,US-Bi1,0.385,2.126,0.008
2016-01-04,US-Bi2,0.506,2.129,0.011
2016-01-04,US-Tw3,0.426,2.13,0.009
2016-01-04,US-Twt,0.74,2.125,0.016
2016-01-05,US-Bi1,0.336,2.126,0.007
2016-01-05,US-Bi2,0.451,2.129,0.01
2016-01-05,US-Tw3,0.374,2.13,0.008
2016-01-05,US-Twt,0.654,2.125,0.014
2016-01-06,US-Bi1,0.382,2.126,0.008
2016-01-06,US-Bi2,0.524,2.129,0.011
2016-01-06,US-Tw3,0.43,2.13,0.009
2016-01-06,US-Twt,0.755,2.125,0.016
2016-01-07,US-Bi1,0.237,2.126,0.005
2016-01-07,US-Bi2,0.333,2.129,0.007
2016-01-07,US-Tw3,0.27,2.13,0.006
2016-01-07,US-Twt,0.476,2.125,0.01
2016-01-08,US-Bi1,0.331,2.126,0.007
2016-01-08,US-Bi2,0.473,2.129,0.01
2016-01-08,US-Tw3,0.325,2.13,0.007
2016-01-08,US-Twt,0.577,2.125,0.012
2016-01-09,US-Bi1,0.376,2.126,0.008
2016-01-09,US-Bi2,0.549,2.129,0.012
2016-01-09,US-Tw3,0.435,2.13,0.009
2016-01-09,US-Twt,0.777,2.125,0.017
2016-01-10,US-Bi1,0.421,2.126,0.009
2016-01-10,US-Bi2,0.628,2.129,0.013
2016-01-10,US-Tw3,0.492,2.13,0.01
2016-01-10,US-Twt,0.882,2.125,0.019
2016-01-11,US-Bi1,0.466,2.126,0.01
2016-01-11,US-Bi2,0.708,2.129,0.015
2016-01-11,US-Tw3,0.604,2.13,0.013
2016-01-11,US-Twt,1.088,2.125,0.023
2016-01-12,US-Bi1,0.464,2.126,0.01
2016-01-12,US-Bi2,0.719,2.129,0.015
2016-01-12,US-Tw3,0.496,2.13,0.011
2016-01-12,US-Twt,0.898,2.125,0.019
2016-01-13,US-Bi1,0.6,2.126,0.013
2016-01-13,US-Bi2,0.949,2.129,0.02
2016-01-13,US-Tw3,0.72,2.13,0.015
2016-01-13,US-Twt,1.309,2.125,0.028
2016-01-14,US-Bi1,0.276,2.126,0.006
2016-01-14,US-Bi2,0.444,2.129,0.009
2016-01-14,US-Tw3,0.334,2.13,0.007
2016-01-14,US-Twt,0.61,2.125,0.013
2016-01-15,US-Bi1,0.32,2.126,0.007
2016-01-15,US-Bi2,0.526,2.129,0.011
2016-01-15,US-Tw3,0.335,2.13,0.007
2016-01-15,US-Twt,0.615,2.125,0.013
2016-01-16,US-Bi1,0.409,2.126,0.009
2016-01-16,US-Bi2,0.686,2.129,0.015
2016-01-16,US-Tw3,0.505,2.13,0.011
2016-01-16,US-Twt,0.931,2.125,0.02
2016-01-17,US-Bi1,0.317,2.126,0.007
2016-01-17,US-Bi2,0.541,2.129,0.012
2016-01-17,US-Tw3,0.338,2.13,0.007
2016-01-17,US-Twt,0.626,2.125,0.013
2016-01-18,US-Bi1,0.45,2.126,0.01
2016-01-18,US-Bi2,0.783,2.129,0.017
2016-01-18,US-Tw3,0.509,2.13,0.011
2016-01-18,US-Twt,0.947,2.125,0.02
2016-01-19,US-Bi1,0.493,2.126,0.01
2016-01-19,US-Bi2,0.874,2.129,0.019
2016-01-19,US-Tw3,0.625,2.13,0.013
2016-01-19,US-Twt,1.168,2.125,0.025
2016-01-20,US-Bi1,0.401,2.126,0.009
2016-01-20,US-Bi2,0.792,2.129,0.017
2016-01-20,US-Tw3,0.521,2.13,0.011
2016-01-20,US-Twt,1.013,2.125,0.022
2016-01-21,US-Bi1,0.532,2.126,0.011
2016-01-21,US-Bi2,1.056,2.129,0.022
2016-01-21,US-Tw3,0.696,2.13,0.015
2016-01-21,US-Twt,1.353,2.125,0.029
2016-01-22,US-Bi1,0.309,2.126,0.007
2016-01-22,US-Bi2,0.616,2.129,0.013
2016-01-22,US-Tw3,0.407,2.13,0.009
2016-01-22,US-Twt,0.79,2.125,0.017
2016-01-23,US-Bi1,0.527,2.126,0.011
2016-01-23,US-Bi2,1.056,2.129,0.022
2016-01-23,US-Tw3,0.757,2.13,0.016
2016-01-23,US-Twt,1.469,2.125,0.031
2016-01-24,US-Bi1,0.437,2.126,0.009
2016-01-24,US-Bi2,0.88,2.129,0.019
2016-01-24,US-Tw3,0.642,2.13,0.014
2016-01-24,US-Twt,1.244,2.125,0.026
2016-01-25,US-Bi1,0.478,2.126,0.01
2016-01-25,US-Bi2,0.968,2.129,0.021
2016-01-25,US-Tw3,0.643,2.13,0.014
2016-01-25,US-Twt,1.245,2.125,0.026
2016-01-26,US-Bi1,0.433,2.126,0.009
2016-01-26,US-Bi2,0.88,2.129,0.019
2016-01-26,US-Tw3,0.527,2.13,0.011
2016-01-26,US-Twt,1.02,2.125,0.022
2016-01-27,US-Bi1,0.516,2.126,0.011
2016-01-27,US-Bi2,1.056,2.129,0.022
2016-01-27,US-Tw3,0.763,2.13,0.016
2016-01-27,US-Twt,1.475,2.125,0.031
2016-01-28,US-Bi1,0.353,2.126,0.008
2016-01-28,US-Bi2,0.683,2.129,0.015
2016-01-28,US-Tw3,0.467,2.13,0.01
2016-01-28,US-Twt,0.884,2.125,0.019
2016-01-29,US-Bi1,0.27,2.126,0.006
2016-01-29,US-Bi2,0.496,2.129,0.011
2016-01-29,US-Tw3,0.29,2.13,0.006
2016-01-29,US-Twt,0.538,2.125,0.011
2016-01-30,US-Bi1,0.598,2.126,0.013
