time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.316,2.126,0.007
2016-01-01,US-Bi2,0.577,2.129,0.012
2016-01-01,US-Tw3,0.356,2.13,0.008
2016-01-01,US-Twt,0.743,2.125,0.016
2016-01-02,US-Bi1,0.426,2.126,0.009
2016-01-02,US-Bi2,0.782,2.129,0.017
2016-01-02,US-Tw3,0.453,2.13,0.01
2016-01-02,US-Twt,0.963,2.125,0.02
2016-01-03,US-Bi1,0.44,2.126,0.009
2016-01-03,US-Bi2,0.795,2.129,0.017
2016-01-03,US-Tw3,0.419,2.13,0.009
2016-01-03,US-Twt,0.911,2.125,0.019
2016-01-04,US-Bi1,0.297,2.126,0.006
2016-01-04,US-Bi2,0.538,2.129,0.011
2016-01-04,US-Tw3,0.257,2.13,0.005
2016-01-04,US-Twt,0.57,2.125,0.012
2016-01-05,US-Bi1,0.263,2.126,0.006
2016-01-05,US-Bi2,0.478,2.129,0.01
2016-01-05,US-Tw3,0.225,2.13,0.005
2016-01-05,US-Twt,0.508,2.125,0.011
2016-01-06,US-Bi1,0.304,2.126,0.006
2016-01-06,US-Bi2,0.555,2.129,0.012
2016-01-06,US-Tw3,0.256,2.13,0.005
2016-01-06,US-Twt,0.59,2.125,0.013
2016-01-07,US-Bi1,0.193,2.126,0.004
2016-01-07,US-Bi2,0.352,2.129,0.007
2016-01-07,US-Tw3,0.16,2.13,0.003
2016-01-07,US-Twt,0.375,2.125,0.008
2016-01-08,US-Bi1,0.273,2.126,0.006
2016-01-08,US-Bi2,0.5,2.129,0.011
2016-01-08,US-Tw3,0.191,2.13,0.004
2016-01-08,US-Twt,0.458,2.125,0.01
2016-01-09,US-Bi1,0.315,2.126,0.007
2016-01-09,US-Bi2,0.58,2.129,0.012
2016-01-09,US-Tw3,0.255,2.13,0.005
2016-01-09,US-Twt,0.62,2.125,0.013
2016-01-10,US-Bi1,0.359,2.126,0.008
2016-01-10,US-Bi2,0.662,2.129,0.014
2016-01-10,US-Tw3,0.286,2.13,0.006
2016-01-10,US-Twt,0.709,2.125,0.015
2016-01-11,US-Bi1,0.403,2.126,0.009
2016-01-11,US-Bi2,0.746,2.129,0.016
2016-01-11,US-Tw3,0.349,2.13,0.007
2016-01-11,US-Twt,0.88,2.125,0.019
2016-01-12,US-Bi1,0.408,2.126,0.009
2016-01-12,US-Bi2,0.757,2.129,0.016
2016-01-12,US-Tw3,0.285,2.13,0.006
2016-01-12,US-Twt,0.731,2.125,0.016
2016-01-13,US-Bi1,0.536,2.126,0.011
2016-01-13,US-Bi2,0.997,2.129,0.021
2016-01-13,US-Tw3,0.41,2.13,0.009
2016-01-13,US-Twt,1.072,2.125,0.023
2016-01-14,US-Bi1,0.25,2.126,0.005
2016-01-14,US-Bi2,0.467,2.129,0.01
2016-01-14,US-Tw3,0.189,2.13,0.004
2016-01-14,US-Twt,0.502,2.125,0.011
2016-01-15,US-Bi1,0.295,2.126,0.006
2016-01-15,US-Bi2,0.552,2.129,0.012
2016-01-15,US-Tw3,0.188,2.13,0.004
2016-01-15,US-Twt,0.51,2.125,0.011
2016-01-16,US-Bi1,0.383,2.126,0.008
2016-01-16,US-Bi2,0.719,2.129,0.015
2016-01-16,US-Tw3,0.282,2.13,0.006
2016-01-16,US-Twt,0.776,2.125,0.016
2016-01-17,US-Bi1,0.301,2.126,0.006
2016-01-17,US-Bi2,0.566,2.129,0.012
2016-01-17,US-Tw3,0.188,2.13,0.004
2016-01-17,US-Twt,0.525,2.125,0.011
2016-01-18,US-Bi1,0.435,2.126,0.009
2016-01-18,US-Bi2,0.82,2.129,0.017
2016-01-18,US-Tw3,0.281,2.13,0.006
2016-01-18,US-Twt,0.798,2.125,0.017
2016-01-19,US-Bi1,0.483,2.126,0.01
2016-01-19,US-Bi2,0.913,2.129,0.019
2016-01-19,US-Tw3,0.342,2.13,0.007
2016-01-19,US-Twt,0.989,2.125,0.021
2016-01-20,US-Bi1,0.399,2.126,0.008
2016-01-20,US-Bi2,0.819,2.129,0.017
2016-01-20,US-Tw3,0.266,2.13,0.006
2016-01-20,US-Twt,0.874,2.125,0.019
2016-01-21,US-Bi1,0.538,2.126,0.011
2016-01-21,US-Bi2,1.092,2.129,0.023
2016-01-21,US-Tw3,0.357,2.13,0.008
2016-01-21,US-Twt,1.17,2.125,0.025
2016-01-22,US-Bi1,0.317,2.126,0.007
2016-01-22,US-Bi2,0.638,2.129,0.014
2016-01-22,US-Tw3,0.209,2.13,0.004
2016-01-22,US-Twt,0.685,2.125,0.015
2016-01-23,US-Bi1,0.549,2.126,0.012
2016-01-23,US-Bi2,1.094,2.129,0.023
2016-01-23,US-Tw3,0.39,2.13,0.008
2016-01-23,US-Twt,1.277,2.125,0.027
2016-01-24,US-Bi1,0.462,2.126,0.01
2016-01-24,US-Bi2,0.912,2.129,0.019
2016-01-24,US-Tw3,0.332,2.13,0.007
2016-01-24,US-Twt,1.085,2.125,0.023
2016-01-25,US-Bi1,0.513,2.126,0.011
2016-01-25,US-Bi2,1.004,2.129,0.021
2016-01-25,US-Tw3,0.333,2.13,0.007
2016-01-25,US-Twt,1.09,2.125,0.023
2016-01-26,US-Bi1,0.471,2.126,0.01
2016-01-26,US-Bi2,0.914,2.129,0.019
2016-01-26,US-Tw3,0.274,2.13,0.006
2016-01-26,US-Twt,0.895,2.125,0.019
2016-01-27,US-Bi1,0.57,2.126,0.012
2016-01-27,US-Bi2,1.097,2.129,0.023
2016-01-27,US-Tw3,0.397,2.13,0.008
2016-01-27,US-Twt,1.298,2.125,0.028
2016-01-28,US-Bi1,0.387,2.126,0.008
2016-01-28,US-Bi2,0.702,2.129,0.015
2016-01-28,US-Tw3,0.231,2.13,0.005
2016-01-28,US-Twt,0.768,2.125,0.016
2016-01-29,US-Bi1,0.289,2.126,0.006
2016-01-29,US-Bi2,0.504,2.129,0.011
2016-01-29,US-Tw3,0.136,2.13,0.003
2016-01-29,US-Twt,0.461,2.125,0.01
2016-01-30,US-Bi1,0.626,2.126,0.013
2016-01-30,US-Bi2,1.043,2.129,0.022
2016-01-30,US-Tw3,0.357,2.13,0.008
2016-01-30,US-Twt,1.236,2.125,0.026
2016-01-31,US-Bi1,1.106,2.126,0.024
2016-01-31,US-Bi2,1.76,2.129,0.037
2016-01-31,US-Tw3,0.571,2.13,0.012
2016-01-31,US-Twt,2.026,2.125,0.043
2016-02-01,US-Bi1,1.365,2.126,0.029
2016-02-01,US-Bi2,2.07,2.129,0.044
2016-02-01,US-Tw3,0.606,2.13,0.013
2016-02-01,US-Twt,2.206,2.125,0.047
2016-02-02,US-Bi1,1.101,2.126,0.023
2016-02-02,US-Bi2,1.586,2.129,0.034
2016-02-02,US-Tw3,0.47,2.13,0.01
2016-02-02,US-Twt,1.765,2.125,0.038
2016-02-03,US-Bi1,1.256,2.126,0.027
2016-02-03,US-Bi2,1.715,2.129,0.037
2016-02-03,US-Tw3,0.555,2.13,0.012
2016-02-03,US-Twt,2.155,2.125,0.046
2016-02-04,US-Bi1,0.94,2.126,0.02
2016-02-04,US-Bi2,1.213,2.129,0.026
2016-02-04,US-Tw3,0.374,2.13,0.008
2016-02-04,US-Twt,1.512,2.125,0.032
2016-02-05,US-Bi1,0.494,2.126,0.011
2016-02-05,US-Bi2,1.076,2.129,0.023
2016-02-05,US-Tw3,0.374,2.13,0.008
2016-02-05,US-Twt,1.512,2.125,0.032
2016-02-06,US-Bi1,0.463,2.126,0.01
2016-02-06,US-Bi2,0.939,2.129,0.02
2016-02-06,US-Tw3,0.374,2.13,0.008
2016-02-06,US-Twt,1.512,2.125,0.032
2016-02-07,US-Bi1,0.457,2.126,0.01
2016-02-07,US-Bi2,0.847,2.129,0.018
2016-02-07,US-Tw3,0.393,2.13,0.008
2016-02-07,US-Twt,1.587,2.125,0.034
2016-02-08,US-Bi1,0.491,2.126,0.01
2016-02-08,US-Bi2,0.813,2.129,0.017
2016-02-08,US-Tw3,0.486,2.13,0.01
2016-02-08,US-Twt,1.965,2.125,0.042
2016-02-09,US-Bi1,0.392,2.126,0.008
2016-02-09,US-Bi2,0.558,2.129,0.012
2016-02-09,US-Tw3,0.374,2.13,0.008
2016-02-09,US-Twt,1.512,2.125,0.032
2016-02-10,US-Bi1,0.322,2.126,0.007
2016-02-10,US-Bi2,0.37,2.129,0.008
2016-02-10,US-Tw3,0.318,2.13,0.007
2016-02-10,US-Twt,1.285,2.125,0.027
2016-02-11,US-Bi1,0.276,2.126,0.006
2016-02-11,US-Bi2,0.227,2.129,0.005
2016-02-11,US-Tw3,0.318,2.13,0.007
2016-02-11,US-Twt,1.285,2.125,0.027
2016-02-12,US-Bi1,0.402,2.126,0.009
2016-02-12,US-Bi2,0.118,2.129,0.003
2016-02-12,US-Tw3,0.474,2.13,0.01
2016-02-12,US-Twt,1.508,2.125,0.032
2016-02-13,US-Bi1,0.467,2.126,0.01
2016-02-13,US-Bi2,0.153,2.129,0.003
2016-02-13,US-Tw3,0.489,2.13,0.01
