time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.742,2.126,0.016
2016-01-01,US-Bi2,0.669,2.129,0.014
2016-01-01,US-Tw3,0.829,2.13,0.018
2016-01-01,US-Twt,0.995,2.125,0.021
2016-01-02,US-Bi1,0.998,2.126,0.021
2016-01-02,US-Bi2,0.921,2.129,0.02
2016-01-02,US-Tw3,1.074,2.13,0.023
2016-01-02,US-Twt,1.292,2.125,0.027
2016-01-03,US-Bi1,1.019,2.126,0.022
2016-01-03,US-Bi2,0.951,2.129,0.02
2016-01-03,US-Tw3,1.016,2.13,0.022
2016-01-03,US-Twt,1.223,2.125,0.026
2016-01-04,US-Bi1,0.687,2.126,0.015
2016-01-04,US-Bi2,0.654,2.129,0.014
2016-01-04,US-Tw3,0.637,2.13,0.014
2016-01-04,US-Twt,0.767,2.125,0.016
2016-01-05,US-Bi1,0.607,2.126,0.013
2016-01-05,US-Bi2,0.589,2.129,0.013
2016-01-05,US-Tw3,0.567,2.13,0.012
2016-01-05,US-Twt,0.684,2.125,0.015
2016-01-06,US-Bi1,0.701,2.126,0.015
2016-01-06,US-Bi2,0.693,2.129,0.015
2016-01-06,US-Tw3,0.659,2.13,0.014
2016-01-06,US-Twt,0.797,2.125,0.017
2016-01-07,US-Bi1,0.442,2.126,0.009
2016-01-07,US-Bi2,0.445,2.129,0.009
2016-01-07,US-Tw3,0.419,2.13,0.009
2016-01-07,US-Twt,0.507,2.125,0.011
2016-01-08,US-Bi1,0.626,2.126,0.013
2016-01-08,US-Bi2,0.641,2.129,0.014
2016-01-08,US-Tw3,0.511,2.13,0.011
2016-01-08,US-Twt,0.62,2.125,0.013
2016-01-09,US-Bi1,0.722,2.126,0.015
2016-01-09,US-Bi2,0.752,2.129,0.016
2016-01-09,US-Tw3,0.693,2.13,0.015
2016-01-09,US-Twt,0.841,2.125,0.018
2016-01-10,US-Bi1,0.82,2.126,0.017
2016-01-10,US-Bi2,0.868,2.129,0.018
2016-01-10,US-Tw3,0.792,2.13,0.017
2016-01-10,US-Twt,0.963,2.125,0.02
2016-01-11,US-Bi1,0.921,2.126,0.02
2016-01-11,US-Bi2,0.99,2.129,0.021
2016-01-11,US-Tw3,0.984,2.13,0.021
2016-01-11,US-Twt,1.197,2.125,0.025
2016-01-12,US-Bi1,0.929,2.126,0.02
2016-01-12,US-Bi2,1.014,2.129,0.022
2016-01-12,US-Tw3,0.818,2.13,0.017
2016-01-12,US-Twt,0.996,2.125,0.021
2016-01-13,US-Bi1,1.22,2.126,0.026
2016-01-13,US-Bi2,1.351,2.129,0.029
2016-01-13,US-Tw3,1.2,2.13,0.026
2016-01-13,US-Twt,1.462,2.125,0.031
2016-01-14,US-Bi1,0.568,2.126,0.012
2016-01-14,US-Bi2,0.638,2.129,0.014
2016-01-14,US-Tw3,0.562,2.13,0.012
2016-01-14,US-Twt,0.686,2.125,0.015
2016-01-15,US-Bi1,0.669,2.126,0.014
2016-01-15,US-Bi2,0.762,2.129,0.016
2016-01-15,US-Tw3,0.571,2.13,0.012
2016-01-15,US-Twt,0.697,2.125,0.015
2016-01-16,US-Bi1,0.869,2.126,0.018
2016-01-16,US-Bi2,1.002,2.129,0.021
2016-01-16,US-Tw3,0.869,2.13,0.019
2016-01-16,US-Twt,1.062,2.125,0.023
2016-01-17,US-Bi1,0.682,2.126,0.014
2016-01-17,US-Bi2,0.796,2.129,0.017
2016-01-17,US-Tw3,0.588,2.13,0.013
2016-01-17,US-Twt,0.719,2.125,0.015
2016-01-18,US-Bi1,0.983,2.126,0.021
2016-01-18,US-Bi2,1.162,2.129,0.025
2016-01-18,US-Tw3,0.894,2.13,0.019
2016-01-18,US-Twt,1.095,2.125,0.023
2016-01-19,US-Bi1,1.091,2.126,0.023
2016-01-19,US-Bi2,1.306,2.129,0.028
2016-01-19,US-Tw3,1.109,2.13,0.024
2016-01-19,US-Twt,1.359,2.125,0.029
2016-01-20,US-Bi1,0.901,2.126,0.019
2016-01-20,US-Bi2,1.241,2.129,0.026
2016-01-20,US-Tw3,0.991,2.13,0.021
2016-01-20,US-Twt,1.228,2.125,0.026
2016-01-21,US-Bi1,1.211,2.126,0.026
2016-01-21,US-Bi2,1.656,2.129,0.035
2016-01-21,US-Tw3,1.324,2.13,0.028
2016-01-21,US-Twt,1.64,2.125,0.035
2016-01-22,US-Bi1,0.713,2.126,0.015
2016-01-22,US-Bi2,0.967,2.129,0.021
2016-01-22,US-Tw3,0.775,2.13,0.017
2016-01-22,US-Twt,0.959,2.125,0.02
2016-01-23,US-Bi1,1.233,2.126,0.026
2016-01-23,US-Bi2,1.658,2.129,0.035
2016-01-23,US-Tw3,1.442,2.13,0.031
2016-01-23,US-Twt,1.783,2.125,0.038
2016-01-24,US-Bi1,1.036,2.126,0.022
2016-01-24,US-Bi2,1.382,2.129,0.029
2016-01-24,US-Tw3,1.223,2.13,0.026
2016-01-24,US-Twt,1.512,2.125,0.032
2016-01-25,US-Bi1,1.15,2.126,0.024
2016-01-25,US-Bi2,1.521,2.129,0.032
2016-01-25,US-Tw3,1.227,2.13,0.026
2016-01-25,US-Twt,1.515,2.125,0.032
2016-01-26,US-Bi1,1.054,2.126,0.022
2016-01-26,US-Bi2,1.384,2.129,0.029
2016-01-26,US-Tw3,1.006,2.13,0.021
2016-01-26,US-Twt,1.242,2.125,0.026
2016-01-27,US-Bi1,1.276,2.126,0.027
2016-01-27,US-Bi2,1.661,2.129,0.035
2016-01-27,US-Tw3,1.457,2.13,0.031
2016-01-27,US-Twt,1.797,2.125,0.038
2016-01-28,US-Bi1,0.84,2.126,0.018
2016-01-28,US-Bi2,1.067,2.129,0.023
2016-01-28,US-Tw3,0.863,2.13,0.018
2016-01-28,US-Twt,1.073,2.125,0.023
2016-01-29,US-Bi1,0.617,2.126,0.013
2016-01-29,US-Bi2,0.769,2.129,0.016
2016-01-29,US-Tw3,0.518,2.13,0.011
2016-01-29,US-Twt,0.65,2.125,0.014
2016-01-30,US-Bi1,1.307,2.126,0.028
2016-01-30,US-Bi2,1.601,2.129,0.034
2016-01-30,US-Tw3,1.39,2.13,0.03
2016-01-30,US-Twt,1.761,2.125,0.037
2016-01-31,US-Bi1,2.262,2.126,0.048
2016-01-31,US-Bi2,2.714,2.129,0.058
2016-01-31,US-Tw3,2.282,2.13,0.049
2016-01-31,US-Twt,2.92,2.125,0.062
2016-02-01,US-Bi1,2.732,2.126,0.058
2016-02-01,US-Bi2,3.21,2.129,0.068
2016-02-01,US-Tw3,2.487,2.13,0.053
2016-02-01,US-Twt,3.218,2.125,0.068
2016-02-02,US-Bi1,2.155,2.126,0.046
2016-02-02,US-Bi2,2.475,2.129,0.053
2016-02-02,US-Tw3,1.991,2.13,0.042
2016-02-02,US-Twt,2.608,2.125,0.055
2016-02-03,US-Bi1,2.405,2.126,0.051
2016-02-03,US-Bi2,2.695,2.129,0.057
2016-02-03,US-Tw3,2.434,2.13,0.052
2016-02-03,US-Twt,3.231,2.125,0.069
2016-02-04,US-Bi1,1.76,2.126,0.037
2016-02-04,US-Bi2,1.921,2.129,0.041
2016-02-04,US-Tw3,1.71,2.13,0.036
2016-02-04,US-Twt,2.303,2.125,0.049
2016-02-05,US-Bi1,1.58,2.126,0.034
2016-02-05,US-Bi2,1.971,2.129,0.042
2016-02-05,US-Tw3,1.71,2.13,0.036
2016-02-05,US-Twt,2.303,2.125,0.049
2016-02-06,US-Bi1,1.627,2.126,0.035
