time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.158,2.126,0.003
2016-01-01,US-Bi2,0.237,2.129,0.005
2016-01-01,US-Tw3,0.72,2.13,0.015
2016-01-01,US-Twt,0.603,2.125,0.013
2016-01-02,US-Bi1,0.219,2.126,0.005
2016-01-02,US-Bi2,0.324,2.129,0.007
2016-01-02,US-Tw3,0.925,2.13,0.02
2016-01-02,US-Twt,0.761,2.125,0.016
2016-01-03,US-Bi1,0.266,2.126,0.006
2016-01-03,US-Bi2,0.334,2.129,0.007
2016-01-03,US-Tw3,0.866,2.13,0.018
2016-01-03,US-Twt,0.7,2.125,0.015
2016-01-04,US-Bi1,0.187,2.126,0.004
2016-01-04,US-Bi2,0.229,2.129,0.005
2016-01-04,US-Tw3,0.538,2.13,0.011
2016-01-04,US-Twt,0.427,2.125,0.009
2016-01-05,US-Bi1,0.171,2.126,0.004
2016-01-05,US-Bi2,0.205,2.129,0.004
2016-01-05,US-Tw3,0.474,2.13,0.01
2016-01-05,US-Twt,0.37,2.125,0.008
2016-01-06,US-Bi1,0.205,2.126,0.004
2016-01-06,US-Bi2,0.241,2.129,0.005
2016-01-06,US-Tw3,0.547,2.13,0.012
2016-01-06,US-Twt,0.419,2.125,0.009
2016-01-07,US-Bi1,0.133,2.126,0.003
2016-01-07,US-Bi2,0.154,2.129,0.003
2016-01-07,US-Tw3,0.345,2.13,0.007
2016-01-07,US-Twt,0.259,2.125,0.006
2016-01-08,US-Bi1,0.195,2.126,0.004
2016-01-08,US-Bi2,0.221,2.129,0.005
2016-01-08,US-Tw3,0.417,2.13,0.009
2016-01-08,US-Twt,0.308,2.125,0.007
2016-01-09,US-Bi1,0.231,2.126,0.005
2016-01-09,US-Bi2,0.259,2.129,0.006
2016-01-09,US-Tw3,0.56,2.13,0.012
2016-01-09,US-Twt,0.407,2.125,0.009
2016-01-10,US-Bi1,0.27,2.126,0.006
2016-01-10,US-Bi2,0.298,2.129,0.006
2016-01-10,US-Tw3,0.636,2.13,0.014
2016-01-10,US-Twt,0.453,2.125,0.01
2016-01-11,US-Bi1,0.312,2.126,0.007
2016-01-11,US-Bi2,0.339,2.129,0.007
2016-01-11,US-Tw3,0.783,2.13,0.017
2016-01-11,US-Twt,0.549,2.125,0.012
2016-01-12,US-Bi1,0.323,2.126,0.007
2016-01-12,US-Bi2,0.347,2.129,0.007
2016-01-12,US-Tw3,0.646,2.13,0.014
2016-01-12,US-Twt,0.444,2.125,0.009
2016-01-13,US-Bi1,0.434,2.126,0.009
2016-01-13,US-Bi2,0.46,2.129,0.01
2016-01-13,US-Tw3,0.94,2.13,0.02
2016-01-13,US-Twt,0.635,2.125,0.013
2016-01-14,US-Bi1,0.207,2.126,0.004
2016-01-14,US-Bi2,0.217,2.129,0.005
2016-01-14,US-Tw3,0.437,2.13,0.009
2016-01-14,US-Twt,0.29,2.125,0.006
2016-01-15,US-Bi1,0.249,2.126,0.005
2016-01-15,US-Bi2,0.259,2.129,0.006
2016-01-15,US-Tw3,0.441,2.13,0.009
2016-01-15,US-Twt,0.287,2.125,0.006
2016-01-16,US-Bi1,0.331,2.126,0.007
2016-01-16,US-Bi2,0.339,2.129,0.007
2016-01-16,US-Tw3,0.666,2.13,0.014
2016-01-16,US-Twt,0.426,2.125,0.009
2016-01-17,US-Bi1,0.265,2.126,0.006
2016-01-17,US-Bi2,0.269,2.129,0.006
2016-01-17,US-Tw3,0.448,2.13,0.01
2016-01-17,US-Twt,0.281,2.125,0.006
2016-01-18,US-Bi1,0.39,2.126,0.008
2016-01-18,US-Bi2,0.392,2.129,0.008
2016-01-18,US-Tw3,0.677,2.13,0.014
2016-01-18,US-Twt,0.417,2.125,0.009
2016-01-19,US-Bi1,0.441,2.126,0.009
2016-01-19,US-Bi2,0.44,2.129,0.009
2016-01-19,US-Tw3,0.833,2.13,0.018
2016-01-19,US-Twt,0.505,2.125,0.011
2016-01-20,US-Bi1,0.371,2.126,0.008
2016-01-20,US-Bi2,0.412,2.129,0.009
2016-01-20,US-Tw3,0.711,2.13,0.015
2016-01-20,US-Twt,0.373,2.125,0.008
2016-01-21,US-Bi1,0.508,2.126,0.011
2016-01-21,US-Bi2,0.55,2.129,0.012
2016-01-21,US-Tw3,0.951,2.13,0.02
2016-01-21,US-Twt,0.498,2.125,0.011
2016-01-22,US-Bi1,0.304,2.126,0.006
2016-01-22,US-Bi2,0.321,2.129,0.007
2016-01-22,US-Tw3,0.556,2.13,0.012
2016-01-22,US-Twt,0.291,2.125,0.006
2016-01-23,US-Bi1,0.535,2.126,0.011
2016-01-23,US-Bi2,0.551,2.129,0.012
2016-01-23,US-Tw3,1.035,2.13,0.022
2016-01-23,US-Twt,0.541,2.125,0.011
2016-01-24,US-Bi1,0.457,2.126,0.01
2016-01-24,US-Bi2,0.459,2.129,0.01
2016-01-24,US-Tw3,0.878,2.13,0.019
2016-01-24,US-Twt,0.458,2.125,0.01
2016-01-25,US-Bi1,0.515,2.126,0.011
2016-01-25,US-Bi2,0.506,2.129,0.011
2016-01-25,US-Tw3,0.88,2.13,0.019
2016-01-25,US-Twt,0.459,2.125,0.01
2016-01-26,US-Bi1,0.479,2.126,0.01
2016-01-26,US-Bi2,0.46,2.129,0.01
2016-01-26,US-Tw3,0.721,2.13,0.015
2016-01-26,US-Twt,0.376,2.125,0.008
2016-01-27,US-Bi1,0.589,2.126,0.013
2016-01-27,US-Bi2,0.553,2.129,0.012
2016-01-27,US-Tw3,1.044,2.13,0.022
2016-01-27,US-Twt,0.545,2.125,0.012
2016-01-28,US-Bi1,0.42,2.126,0.009
2016-01-28,US-Bi2,0.367,2.129,0.008
2016-01-28,US-Tw3,0.65,2.13,0.014
2016-01-28,US-Twt,0.359,2.125,0.008
2016-01-29,US-Bi1,0.317,2.126,0.007
2016-01-29,US-Bi2,0.274,2.129,0.006
2016-01-29,US-Tw3,0.411,2.13,0.009
2016-01-29,US-Twt,0.24,2.125,0.005
2016-01-30,US-Bi1,0.689,2.126,0.015
