time,site,et,hectares,megaliters
2016-01-01,US-Bi1,0.302,2.126,0.006
2016-01-01,US-Bi2,0.725,2.129,0.015
2016-01-01,US-Tw3,0.619,2.13,0.013
2016-01-01,US-Twt,1.099,2.125,0.023
2016-01-02,US-Bi1,0.401,2.126,0.009
2016-01-02,US-Bi2,0.961,2.129,0.02
2016-01-02,US-Tw3,0.795,2.13,0.017
2016-01-02,US-Twt,1.398,2.125,0.03
2016-01-03,US-Bi1,0.409,2.126,0.009
2016-01-03,US-Bi2,0.954,2.129,0.02
2016-01-03,US-Tw3,0.744,2.13,0.016
2016-01-03,US-Twt,1.298,2.125,0.028
2016-01-04,US-Bi1,0.272,2.126,0.006
2016-01-04,US-Bi2,0.631,2.129,0.013
2016-01-04,US-Tw3,0.461,2.13,0.01
2016-01-04,US-Twt,0.798,2.125,0.017
2016-01-05,US-Bi1,0.238,2.126,0.005
2016-01-05,US-Bi2,0.549,2.129,0.012
2016-01-05,US-Tw3,0.407,2.13,0.009
2016-01-05,US-Twt,0.698,2.125,0.015
2016-01-06,US-Bi1,0.271,2.126,0.006
2016-01-06,US-Bi2,0.623,2.129,0.013
2016-01-06,US-Tw3,0.468,2.13,0.01
2016-01-06,US-Twt,0.797,2.125,0.017
2016-01-07,US-Bi1,0.169,2.126,0.004
2016-01-07,US-Bi2,0.386,2.129,0.008
2016-01-07,US-Tw3,0.295,2.13,0.006
2016-01-07,US-Twt,0.498,2.125,0.011
2016-01-08,US-Bi1,0.236,2.126,0.005
2016-01-08,US-Bi2,0.537,2.129,0.011
2016-01-08,US-Tw3,0.357,2.13,0.008
2016-01-08,US-Twt,0.597,2.125,0.013
2016-01-09,US-Bi1,0.269,2.126,0.006
2016-01-09,US-Bi2,0.609,2.129,0.013
2016-01-09,US-Tw3,0.479,2.13,0.01
2016-01-09,US-Twt,0.796,2.125,0.017
2016-01-10,US-Bi1,0.302,2.126,0.006
2016-01-10,US-Bi2,0.68,2.129,0.014
2016-01-10,US-Tw3,0.543,2.13,0.012
2016-01-10,US-Twt,0.895,2.125,0.019
2016-01-11,US-Bi1,0.335,2.126,0.007
2016-01-11,US-Bi2,0.75,2.129,0.016
2016-01-11,US-Tw3,0.669,2.13,0.014
2016-01-11,US-Twt,1.093,2.125,0.023
2016-01-12,US-Bi1,0.334,2.126,0.007
2016-01-12,US-Bi2,0.745,2.129,0.016
2016-01-12,US-Tw3,0.551,2.13,0.012
2016-01-12,US-Twt,0.894,2.125,0.019
2016-01-13,US-Bi1,0.433,2.126,0.009
2016-01-13,US-Bi2,0.961,2.129,0.02
2016-01-13,US-Tw3,0.802,2.13,0.017
2016-01-13,US-Twt,1.291,2.125,0.027
2016-01-14,US-Bi1,0.2,2.126,0.004
2016-01-14,US-Bi2,0.44,2.129,0.009
2016-01-14,US-Tw3,0.373,2.13,0.008
2016-01-14,US-Twt,0.596,2.125,0.013
2016-01-15,US-Bi1,0.232,2.126,0.005
2016-01-15,US-Bi2,0.51,2.129,0.011
2016-01-15,US-Tw3,0.375,2.13,0.008
2016-01-15,US-Twt,0.595,2.125,0.013
2016-01-16,US-Bi1,0.298,2.126,0.006
2016-01-16,US-Bi2,0.65,2.129,0.014
2016-01-16,US-Tw3,0.567,2.13,0.012
2016-01-16,US-Twt,0.892,2.125,0.019
2016-01-17,US-Bi1,0.231,2.126,0.005
2016-01-17,US-Bi2,0.502,2.129,0.011
2016-01-17,US-Tw3,0.381,2.13,0.008
2016-01-17,US-Twt,0.595,2.125,0.013
2016-01-18,US-Bi1,0.33,2.126,0.007
2016-01-18,US-Bi2,0.711,2.129,0.015
2016-01-18,US-Tw3,0.575,2.13,0.012
2016-01-18,US-Twt,0.891,2.125,0.019
2016-01-19,US-Bi1,0.362,2.126,0.008
2016-01-19,US-Bi2,0.776,2.129,0.017
2016-01-19,US-Tw3,0.708,2.13,0.015
2016-01-19,US-Twt,1.089,2.125,0.023
2016-01-20,US-Bi1,0.295,2.126,0.006
2016-01-20,US-Bi2,0.596,2.129,0.013
2016-01-20,US-Tw3,0.599,2.13,0.013
2016-01-20,US-Twt,0.88,2.125,0.019
2016-01-21,US-Bi1,0.393,2.126,0.008
2016-01-21,US-Bi2,0.794,2.129,0.017
2016-01-21,US-Tw3,0.801,2.13,0.017
2016-01-21,US-Twt,1.175,2.125,0.025
2016-01-22,US-Bi1,0.229,2.126,0.005
2016-01-22,US-Bi2,0.463,2.129,0.01
2016-01-22,US-Tw3,0.469,2.13,0.01
2016-01-22,US-Twt,0.686,2.125,0.015
2016-01-23,US-Bi1,0.391,2.126,0.008
