time,site,et,hectares,megaliters
2016-01-01,US-Bi1,12.4,2.126,0.264
2016-01-01,US-Bi2,24.146,2.129,0.514
2016-01-01,US-Tw3,8.468,2.13,0.18
2016-01-01,US-Twt,30.373,2.125,0.645
2016-02-01,US-Bi1,38.461,2.126,0.818
2016-02-01,US-Bi2,41.977,2.129,0.894
2016-02-01,US-Tw3,29.654,2.13,0.632
2016-02-01,US-Twt,63.298,2.125,1.345
2016-03-01,US-Bi1,70.171,2.126,1.492
2016-03-01,US-Bi2,64.902,2.129,1.382
2016-03-01,US-Tw3,49.679,2.13,1.058
2016-03-01,US-Twt,71.292,2.125,1.515
2016-04-01,US-Bi1,156.011,2.126,3.317
2016-04-01,US-Bi2,72.352,2.129,1.54
2016-04-01,US-Tw3,52.607,2.13,1.121
2016-04-01,US-Twt,63.874,2.125,1.357
2016-05-01,US-Bi1,160.525,2.126,3.413
2016-05-01,US-Bi2,50.451,2.129,1.074
2016-05-01,US-Tw3,126.498,2.13,2.694
2016-05-01,US-Twt,43.953,2.125,0.934
2016-06-01,US-Bi1,179.352,2.126,3.813
2016-06-01,US-Bi2,95.799,2.129,2.04
2016-06-01,US-Tw3,127.181,2.13,2.709
2016-06-01,US-Twt,142.804,2.125,3.035
2016-07-01,US-Bi1,150.635,2.126,3.203
2016-07-01,US-Bi2,170.052,2.129,3.62
2016-07-01,US-Tw3,125.394,2.13,2.671
2016-07-01,US-Twt,261.47,2.125,5.556
2016-08-01,US-Bi1,115.374,2.126,2.453
2016-08-01,US-Bi2,145.907,2.129,3.106
2016-08-01,US-Tw3,90.237,2.13,1.922
2016-08-01,US-Twt,215.772,2.125,4.585
2016-09-01,US-Bi1,63.547,2.126,1.351
2016-09-01,US-Bi2,34.599,2.129,0.737
2016-09-01,US-Tw3,78.234,2.13,1.666
2016-09-01,US-Twt,137.127,2.125,2.914
2016-10-01,US-Bi1,27.803,2.126,0.591
2016-10-01,US-Bi2,9.23,2.129,0.197
2016-10-01,US-Tw3,27.814,2.13,0.592
2016-10-01,US-Twt,53.02,2.125,1.127
2016-11-01,US-Bi1,24.15,2.126,0.513
2016-11-01,US-Bi2,24.39,2.129,0.519
2016-11-01,US-Tw3,27.851,2.13,0.593
2016-11-01,US-Twt,39.188,2.125,0.833
2016-12-01,US-Bi1,13.274,2.126,0.282
2016-12-01,US-Bi2,25.326,2.129,0.539
2016-12-01,US-Tw3,11.617,2.13,0.247
2016-12-01,US-Twt,31.93,2.125,0.679
