time,site,et,hectares,megaliters
2016-01-01,US-Bi1,13.564,2.126,0.288
2016-01-01,US-Bi2,29.5,2.129,0.628
2016-01-01,US-Tw3,7.583,2.13,0.162
2016-01-01,US-Twt,33.569,2.125,0.713
2016-02-01,US-Bi1,26.825,2.126,0.57
2016-02-01,US-Bi2,29.226,2.129,0.622
2016-02-01,US-Tw3,22.879,2.13,0.487
2016-02-01,US-Twt,58.259,2.125,1.238
2016-03-01,US-Bi1,60.681,2.126,1.29
2016-03-01,US-Bi2,46.132,2.129,0.982
2016-03-01,US-Tw3,39.243,2.13,0.836
2016-03-01,US-Twt,64.961,2.125,1.38
2016-04-01,US-Bi1,130.097,2.126,2.766
2016-04-01,US-Bi2,62.634,2.129,1.333
2016-04-01,US-Tw3,71.543,2.13,1.524
2016-04-01,US-Twt,59.35,2.125,1.261
2016-05-01,US-Bi1,164.913,2.126,3.506
2016-05-01,US-Bi2,22.844,2.129,0.486
2016-05-01,US-Tw3,127.695,2.13,2.72
2016-05-01,US-Twt,25.097,2.125,0.533
2016-06-01,US-Bi1,180.6,2.126,3.84
2016-06-01,US-Bi2,72.921,2.129,1.552
2016-06-01,US-Tw3,116.071,2.13,2.472
2016-06-01,US-Twt,135.948,2.125,2.889
2016-07-01,US-Bi1,171.476,2.126,3.646
2016-07-01,US-Bi2,190.186,2.129,4.049
2016-07-01,US-Tw3,146.624,2.13,3.123
2016-07-01,US-Twt,259.064,2.125,5.505
2016-08-01,US-Bi1,149.418,2.126,3.177
2016-08-01,US-Bi2,171.501,2.129,3.651
2016-08-01,US-Tw3,115.187,2.13,2.453
2016-08-01,US-Twt,235.456,2.125,5.003
2016-09-01,US-Bi1,112.381,2.126,2.389
2016-09-01,US-Bi2,50.833,2.129,1.082
2016-09-01,US-Tw3,115.97,2.13,2.47
2016-09-01,US-Twt,175.612,2.125,3.732
2016-10-01,US-Bi1,60.535,2.126,1.287
2016-10-01,US-Bi2,22.824,2.129,0.486
2016-10-01,US-Tw3,58.312,2.13,1.242
2016-10-01,US-Twt,78.395,2.125,1.666
2016-11-01,US-Bi1,32.602,2.126,0.693
2016-11-01,US-Bi2,24.425,2.129,0.52
2016-11-01,US-Tw3,46.658,2.13,0.994
2016-11-01,US-Twt,45.718,2.125,0.972
2016-12-01,US-Bi1,22.271,2.126,0.473
2016-12-01,US-Bi2,33.837,2.129,0.72
2016-12-01,US-Tw3,18.441,2.13,0.393
2016-12-01,US-Twt,42.695,2.125,0.907
