time,site,et,hectares,megaliters
2016-01-01,US-Bi1,12.661,2.126,0.269
2016-01-01,US-Bi2,26.367,2.129,0.561
2016-01-01,US-Tw3,16.7,2.13,0.356
2016-01-01,US-Twt,30.607,2.125,0.65
2016-02-01,US-Bi1,33.579,2.126,0.714
2016-02-01,US-Bi2,28.248,2.129,0.601
2016-02-01,US-Tw3,37.414,2.13,0.797
2016-02-01,US-Twt,55.466,2.125,1.179
2016-03-01,US-Bi1,73.978,2.126,1.573
2016-03-01,US-Bi2,58.858,2.129,1.253
2016-03-01,US-Tw3,55.028,2.13,1.172
2016-03-01,US-Twt,65.84,2.125,1.399
2016-04-01,US-Bi1,129.531,2.126,2.754
2016-04-01,US-Bi2,68.166,2.129,1.451
2016-04-01,US-Tw3,83.622,2.13,1.781
2016-04-01,US-Twt,59.464,2.125,1.264
2016-05-01,US-Bi1,160.407,2.126,3.41
2016-05-01,US-Bi2,37.159,2.129,0.791
2016-05-01,US-Tw3,142.79,2.13,3.041
2016-05-01,US-Twt,38.629,2.125,0.821
2016-06-01,US-Bi1,181.223,2.126,3.853
2016-06-01,US-Bi2,89.999,2.129,1.916
2016-06-01,US-Tw3,135.423,2.13,2.885
2016-06-01,US-Twt,115.546,2.125,2.455
2016-07-01,US-Bi1,159.157,2.126,3.384
2016-07-01,US-Bi2,178.437,2.129,3.799
2016-07-01,US-Tw3,147.05,2.13,3.132
2016-07-01,US-Twt,224.126,2.125,4.763
2016-08-01,US-Bi1,139.787,2.126,2.972
2016-08-01,US-Bi2,154.489,2.129,3.289
2016-08-01,US-Tw3,108.271,2.13,2.306
2016-08-01,US-Twt,201.802,2.125,4.288
2016-09-01,US-Bi1,109.246,2.126,2.323
2016-09-01,US-Bi2,42.246,2.129,0.899
2016-09-01,US-Tw3,112.857,2.13,2.404
2016-09-01,US-Twt,138.759,2.125,2.949
2016-10-01,US-Bi1,63.229,2.126,1.344
2016-10-01,US-Bi2,18.857,2.129,0.401
2016-10-01,US-Tw3,58.808,2.13,1.253
2016-10-01,US-Twt,65.94,2.125,1.401
2016-11-01,US-Bi1,32.402,2.126,0.689
2016-11-01,US-Bi2,21.986,2.129,0.468
2016-11-01,US-Tw3,46.579,2.13,0.992
2016-11-01,US-Twt,34.407,2.125,0.731
2016-12-01,US-Bi1,20.783,2.126,0.442
2016-12-01,US-Bi2,26.414,2.129,0.562
2016-12-01,US-Tw3,21.265,2.13,0.453
2016-12-01,US-Twt,32.635,2.125,0.693
