time,site,et,hectares,megaliters
2016-01-01,US-Bi1,10.159,2.126,0.216
2016-01-01,US-Bi2,22.467,2.129,0.478
2016-01-01,US-Tw3,4.295,2.13,0.091
2016-01-01,US-Twt,26.402,2.125,0.561
2016-02-01,US-Bi1,20.197,2.126,0.429
2016-02-01,US-Bi2,22.708,2.129,0.483
2016-02-01,US-Tw3,10.105,2.13,0.215
2016-02-01,US-Twt,45.268,2.125,0.962
2016-03-01,US-Bi1,68.867,2.126,1.464
2016-03-01,US-Bi2,68.869,2.129,1.466
2016-03-01,US-Tw3,35.492,2.13,0.756
2016-03-01,US-Twt,74.674,2.125,1.587
2016-04-01,US-Bi1,132.614,2.126,2.819
2016-04-01,US-Bi2,75.583,2.129,1.609
2016-04-01,US-Tw3,36.274,2.13,0.773
2016-04-01,US-Twt,53.554,2.125,1.138
2016-05-01,US-Bi1,154.34,2.126,3.281
2016-05-01,US-Bi2,10.326,2.129,0.22
2016-05-01,US-Tw3,87.073,2.13,1.855
2016-05-01,US-Twt,9.267,2.125,0.197
2016-06-01,US-Bi1,159.819,2.126,3.398
2016-06-01,US-Bi2,48.65,2.129,1.036
2016-06-01,US-Tw3,71.379,2.13,1.52
2016-06-01,US-Twt,89.583,2.125,1.904
2016-07-01,US-Bi1,135.032,2.126,2.871
2016-07-01,US-Bi2,153.323,2.129,3.264
2016-07-01,US-Tw3,85.569,2.13,1.823
2016-07-01,US-Twt,213.233,2.125,4.531
2016-08-01,US-Bi1,112.79,2.126,2.398
2016-08-01,US-Bi2,138.295,2.129,2.944
2016-08-01,US-Tw3,48.318,2.13,1.029
2016-08-01,US-Twt,178.92,2.125,3.802
2016-09-01,US-Bi1,68.71,2.126,1.461
2016-09-01,US-Bi2,32.175,2.129,0.685
2016-09-01,US-Tw3,61.847,2.13,1.317
2016-09-01,US-Twt,114.455,2.125,2.432
2016-10-01,US-Bi1,30.354,2.126,0.645
2016-10-01,US-Bi2,14.362,2.129,0.306
2016-10-01,US-Tw3,25.731,2.13,0.548
2016-10-01,US-Twt,43.555,2.125,0.926
2016-11-01,US-Bi1,11.644,2.126,0.248
2016-11-01,US-Bi2,10.493,2.129,0.223
2016-11-01,US-Tw3,17.069,2.13,0.364
2016-11-01,US-Twt,18.5,2.125,0.393
2016-12-01,US-Bi1,8.675,2.126,0.184
2016-12-01,US-Bi2,15.386,2.129,0.328
2016-12-01,US-Tw3,6.054,2.13,0.129
2016-12-01,US-Twt,15.396,2.125,0.327
