time,site,et,hectares,megaliters
2016-01-01,US-Bi1,29.173,2.126,0.62
2016-01-01,US-Bi2,31.297,2.129,0.666
2016-01-01,US-Tw3,29.394,2.13,0.626
2016-01-01,US-Twt,33.847,2.125,0.719
2016-02-01,US-Bi1,60.275,2.126,1.281
2016-02-01,US-Bi2,69.486,2.129,1.479
2016-02-01,US-Tw3,58.021,2.13,1.236
2016-02-01,US-Twt,69.39,2.125,1.475
2016-03-01,US-Bi1,88.038,2.126,1.872
2016-03-01,US-Bi2,93.106,2.129,1.982
2016-03-01,US-Tw3,101.017,2.13,2.152
2016-03-01,US-Twt,102.573,2.125,2.18
2016-04-01,US-Bi1,123.665,2.126,2.629
2016-04-01,US-Bi2,113.98,2.129,2.427
2016-04-01,US-Tw3,140.818,2.13,2.999
2016-04-01,US-Twt,120.329,2.125,2.557
2016-05-01,US-Bi1,173.875,2.126,3.697
2016-05-01,US-Bi2,84.146,2.129,1.791
2016-05-01,US-Tw3,163.396,2.13,3.48
2016-05-01,US-Twt,90.785,2.125,1.929
2016-06-01,US-Bi1,176.776,2.126,3.758
2016-06-01,US-Bi2,118.704,2.129,2.527
2016-06-01,US-Tw3,149.698,2.13,3.189
2016-06-01,US-Twt,126.02,2.125,2.678
2016-07-01,US-Bi1,151.408,2.126,3.219
2016-07-01,US-Bi2,168.107,2.129,3.579
2016-07-01,US-Tw3,149.509,2.13,3.185
2016-07-01,US-Twt,218.939,2.125,4.652
2016-08-01,US-Bi1,137.749,2.126,2.929
2016-08-01,US-Bi2,149.698,2.129,3.187
2016-08-01,US-Tw3,117.413,2.13,2.501
2016-08-01,US-Twt,187.191,2.125,3.978
2016-09-01,US-Bi1,109.455,2.126,2.327
2016-09-01,US-Bi2,50.096,2.129,1.067
2016-09-01,US-Tw3,112.286,2.13,2.392
2016-09-01,US-Twt,126.61,2.125,2.69
2016-10-01,US-Bi1,61.304,2.126,1.303
2016-10-01,US-Bi2,52.632,2.129,1.121
2016-10-01,US-Tw3,83.091,2.13,1.77
2016-10-01,US-Twt,86.277,2.125,1.833
2016-11-01,US-Bi1,37.284,2.126,0.793
2016-11-01,US-Bi2,37.154,2.129,0.791
2016-11-01,US-Tw3,44.949,2.13,0.957
2016-11-01,US-Twt,43.178,2.125,0.918
2016-12-01,US-Bi1,29.055,2.126,0.618
2016-12-01,US-Bi2,35.669,2.129,0.759
2016-12-01,US-Tw3,31.273,2.13,0.666
2016-12-01,US-Twt,35.436,2.125,0.753
