time,site,et,hectares,megaliters
2016-01-01,US-Bi1,27.996,2.126,0.595
2016-01-01,US-Bi2,28.162,2.129,0.6
2016-01-01,US-Tw3,30.765,2.13,0.655
2016-01-01,US-Twt,30.484,2.125,0.648
2016-02-01,US-Bi1,42.751,2.126,0.909
2016-02-01,US-Bi2,33.569,2.129,0.715
2016-02-01,US-Tw3,56.588,2.13,1.205
2016-02-01,US-Twt,44.355,2.125,0.943
2016-03-01,US-Bi1,81.509,2.126,1.733
2016-03-01,US-Bi2,56.474,2.129,1.202
2016-03-01,US-Tw3,80.391,2.13,1.712
2016-03-01,US-Twt,60.051,2.125,1.276
2016-04-01,US-Bi1,127.399,2.126,2.709
2016-04-01,US-Bi2,66.137,2.129,1.408
2016-04-01,US-Tw3,112.464,2.13,2.395
2016-04-01,US-Twt,71.604,2.125,1.522
2016-05-01,US-Bi1,155.991,2.126,3.316
2016-05-01,US-Bi2,54.277,2.129,1.156
2016-05-01,US-Tw3,157.24,2.13,3.349
2016-05-01,US-Twt,62.653,2.125,1.331
2016-06-01,US-Bi1,183.751,2.126,3.907
2016-06-01,US-Bi2,117.543,2.129,2.502
2016-06-01,US-Tw3,157.175,2.13,3.348
2016-06-01,US-Twt,115.763,2.125,2.46
2016-07-01,US-Bi1,167.741,2.126,3.566
2016-07-01,US-Bi2,176.76,2.129,3.763
2016-07-01,US-Tw3,165.771,2.13,3.531
2016-07-01,US-Twt,208.994,2.125,4.441
2016-08-01,US-Bi1,147.345,2.126,3.133
2016-08-01,US-Bi2,151.612,2.129,3.228
2016-08-01,US-Tw3,128.057,2.13,2.728
2016-08-01,US-Twt,191.505,2.125,4.069
2016-09-01,US-Bi1,124.343,2.126,2.644
2016-09-01,US-Bi2,57.802,2.129,1.231
2016-09-01,US-Tw3,134.175,2.13,2.858
2016-09-01,US-Twt,145.688,2.125,3.096
2016-10-01,US-Bi1,69.386,2.126,1.475
2016-10-01,US-Bi2,41.656,2.129,0.887
2016-10-01,US-Tw3,81.496,2.13,1.736
2016-10-01,US-Twt,75.099,2.125,1.596
2016-11-01,US-Bi1,35.604,2.126,0.757
2016-11-01,US-Bi2,23.073,2.129,0.491
2016-11-01,US-Tw3,45.774,2.13,0.975
2016-11-01,US-Twt,26.663,2.125,0.567
2016-12-01,US-Bi1,28.0,2.126,0.595
2016-12-01,US-Bi2,25.016,2.129,0.533
2016-12-01,US-Tw3,35.777,2.13,0.762
2016-12-01,US-Twt,31.545,2.125,0.67
