time,site,et,hectares,megaliters
2016-01-01,US-Bi1,8.674,2.126,0.184
2016-01-01,US-Bi2,21.424,2.129,0.456
2016-01-01,US-Tw3,19.348,2.13,0.412
2016-01-01,US-Twt,29.115,2.125,0.619
2016-02-01,US-Bi1,31.306,2.126,0.666
2016-02-01,US-Bi2,13.938,2.129,0.297
2016-02-01,US-Tw3,46.884,2.13,0.999
2016-02-01,US-Twt,47.074,2.125,1.0
2016-03-01,US-Bi1,74.95,2.126,1.593
2016-03-01,US-Bi2,49.706,2.129,1.058
2016-03-01,US-Tw3,55.752,2.13,1.188
2016-03-01,US-Twt,48.638,2.125,1.034
2016-04-01,US-Bi1,133.464,2.126,2.837
2016-04-01,US-Bi2,52.936,2.129,1.127
2016-04-01,US-Tw3,87.872,2.13,1.872
2016-04-01,US-Twt,43.011,2.125,0.914
2016-05-01,US-Bi1,161.297,2.126,3.429
2016-05-01,US-Bi2,0.512,2.129,0.011
2016-05-01,US-Tw3,148.842,2.13,3.17
2016-05-01,US-Twt,6.04,2.125,0.128
2016-06-01,US-Bi1,192.465,2.126,4.092
2016-06-01,US-Bi2,79.049,2.129,1.683
2016-06-01,US-Tw3,129.81,2.13,2.765
2016-06-01,US-Twt,83.289,2.125,1.77
2016-07-01,US-Bi1,171.049,2.126,3.637
2016-07-01,US-Bi2,203.632,2.129,4.335
2016-07-01,US-Tw3,147.989,2.13,3.152
2016-07-01,US-Twt,224.609,2.125,4.773
2016-08-01,US-Bi1,154.477,2.126,3.284
2016-08-01,US-Bi2,165.976,2.129,3.534
2016-08-01,US-Tw3,93.25,2.13,1.986
2016-08-01,US-Twt,209.659,2.125,4.455
2016-09-01,US-Bi1,127.958,2.126,2.72
2016-09-01,US-Bi2,28.164,2.129,0.6
2016-09-01,US-Tw3,124.835,2.13,2.659
2016-09-01,US-Twt,150.916,2.125,3.207
2016-10-01,US-Bi1,66.695,2.126,1.418
2016-10-01,US-Bi2,15.851,2.129,0.337
2016-10-01,US-Tw3,69.718,2.13,1.485
2016-10-01,US-Twt,58.823,2.125,1.25
2016-11-01,US-Bi1,31.617,2.126,0.672
2016-11-01,US-Bi2,15.883,2.129,0.338
2016-11-01,US-Tw3,48.59,2.13,1.035
2016-11-01,US-Twt,29.401,2.125,0.625
2016-12-01,US-Bi1,20.879,2.126,0.444
2016-12-01,US-Bi2,20.792,2.129,0.443
2016-12-01,US-Tw3,23.998,2.13,0.511
2016-12-01,US-Twt,29.634,2.125,0.63
