time,et
2016-01-01,0.542
2016-01-02,0.681
2016-01-03,0.625
2016-01-04,0.38
2016-01-05,0.328
2016-01-06,0.371
2016-01-07,0.229
2016-01-08,0.271
2016-01-09,0.357
2016-01-10,0.396
2016-01-11,0.478
2016-01-12,0.386
2016-01-13,0.55
2016-01-14,0.25
2016-01-15,0.247
2016-01-16,0.365
2016-01-17,0.24
2016-01-18,0.354
2016-01-19,0.427
2016-01-20,0.344
2016-01-21,0.452
2016-01-22,0.259
2016-01-23,0.474
2016-01-24,0.395
2016-01-25,0.388
2016-01-26,0.313
2016-01-27,0.444
2016-01-28,0.275
2016-01-29,0.173
2016-01-30,0.49
2016-01-31,0.846
2016-02-01,0.973
2016-02-02,0.823
2016-02-03,1.067
2016-02-04,0.796
2016-02-05,0.82
2016-02-06,0.845
2016-02-07,0.912
2016-02-08,1.161
2016-02-09,0.917
2016-02-10,0.8
2016-02-11,0.821
2016-02-12,0.941
2016-02-13,0.964
2016-02-14,1.454
2016-02-15,0.957
2016-02-16,1.196
2016-02-17,0.834
2016-02-18,1.363
2016-02-19,1.044
2016-02-20,1.244
2016-02-21,1.33
2016-02-22,1.11
2016-02-23,1.006
2016-02-24,1.025
2016-02-25,1.045
2016-02-26,1.064
2016-02-27,1.219
2016-02-28,1.379
2016-02-29,1.403
2016-03-01,1.923
2016-03-02,1.883
2016-03-03,1.031
2016-03-04,1.422
2016-03-05,1.065
2016-03-06,1.855
2016-03-07,1.491
2016-03-08,1.594
2016-03-09,1.376
2016-03-10,1.15
2016-03-11,1.25
2016-03-12,1.691
2016-03-13,1.286
2016-03-14,1.914
2016-03-15,2.558
2016-03-16,2.659
2016-03-17,2.672
2016-03-18,2.954
2016-03-19,2.789
2016-03-20,2.079
2016-03-21,2.18
2016-03-22,2.739
2016-03-23,3.119
2016-03-24,3.254
2016-03-25,3.473
2016-03-26,3.684
2016-03-27,3.109
2016-03-28,3.146
2016-03-29,3.097
2016-03-30,3.129
2016-03-31,3.24
2016-04-01,2.937
2016-04-02,2.685
2016-04-03,2.793
2016-04-04,3.086
2016-04-05,3.154
2016-04-06,3.143
2016-04-07,2.709
2016-04-08,1.965
2016-04-09,0.908
2016-04-10,0.811
2016-04-11,1.39
2016-04-12,1.717
2016-04-13,1.995
2016-04-14,1.509
2016-04-15,1.923
2016-04-16,1.712
2016-04-17,1.512
2016-04-18,1.438
2016-04-19,1.275
2016-04-20,1.164
2016-04-21,0.904
2016-04-22,0.552
2016-04-23,0.648
2016-04-24,0.58
2016-04-25,1.04
2016-04-26,1.232
2016-04-27,1.259
2016-04-28,2.204
2016-04-29,2.445
2016-04-30,3.561
2016-05-01,3.32
2016-05-02,3.698
2016-05-03,3.448
2016-05-04,3.602
2016-05-05,2.912
2016-05-06,2.154
2016-05-07,1.243
2016-05-08,3.011
2016-05-09,4.19
2016-05-10,5.26
2016-05-11,5.097
2016-05-12,5.02
2016-05-13,4.185
2016-05-14,4.365
2016-05-15,4.756
2016-05-16,5.106
2016-05-17,5.417
2016-05-18,5.826
2016-05-19,4.422
2016-05-20,4.083
2016-05-21,3.307
2016-05-22,4.093
2016-05-23,4.164
2016-05-24,4.758
2016-05-25,5.109
2016-05-26,6.039
2016-05-27,6.251
2016-05-28,6.533
2016-05-29,6.442
2016-05-30,6.431
2016-05-31,6.657
2016-06-01,5.813
2016-06-02,5.786
2016-06-03,5.968
2016-06-04,5.21
2016-06-05,5.784
2016-06-06,4.597
2016-06-07,4.115
2016-06-08,3.839
2016-06-09,3.924
2016-06-10,3.99
2016-06-11,3.93
2016-06-12,4.199
2016-06-13,3.714
2016-06-14,3.606
2016-06-15,3.014
2016-06-16,3.282
2016-06-17,1.937
2016-06-18,3.551
2016-06-19,3.98
2016-06-20,4.599
2016-06-21,5.19
2016-06-22,4.928
2016-06-23,5.185
2016-06-24,5.262
2016-06-25,5.782
2016-06-26,5.994
2016-06-27,5.944
2016-06-28,6.449
2016-06-29,5.676
2016-06-30,5.845
2016-07-01,5.402
2016-07-02,4.903
2016-07-03,5.064
2016-07-04,4.892
2016-07-05,4.718
2016-07-06,4.634
2016-07-07,3.992
2016-07-08,3.875
2016-07-09,3.334
2016-07-10,3.483
2016-07-11,3.295
2016-07-12,2.788
2016-07-13,2.601
2016-07-14,2.937
2016-07-15,2.873
2016-07-16,2.91
2016-07-17,2.961
2016-07-18,2.904
2016-07-19,3.314
2016-07-20,3.896
2016-07-21,3.86
2016-07-22,4.342
2016-07-23,4.818
2016-07-24,4.838
2016-07-25,4.461
2016-07-26,4.434
2016-07-27,4.749
2016-07-28,4.67
2016-07-29,4.738
2016-07-30,4.104
2016-07-31,3.235
2016-08-01,3.082
2016-08-02,3.211
2016-08-03,3.319
2016-08-04,2.373
