time,et
2016-01-01,0.511
2016-01-02,0.629
2016-01-03,0.565
2016-01-04,0.335
2016-01-05,0.283
2016-01-06,0.311
2016-01-07,0.187
2016-01-08,0.215
2016-01-09,0.275
2016-01-10,0.296
2016-01-11,0.345
2016-01-12,0.269
2016-01-13,0.368
2016-01-14,0.161
2016-01-15,0.152
2016-01-16,0.214
2016-01-17,0.134
2016-01-18,0.187
2016-01-19,0.212
2016-01-20,0.16
2016-01-21,0.195
2016-01-22,0.103
2016-01-23,0.172
2016-01-24,0.129
2016-01-25,0.112
2016-01-26,0.078
2016-01-27,0.093
2016-01-28,0.088
2016-01-29,0.074
2016-01-30,0.259
2016-01-31,0.535
2016-02-01,0.714
2016-02-02,0.687
2016-02-03,0.995
2016-02-04,0.82
2016-02-05,0.818
2016-02-06,0.816
2016-02-07,0.854
2016-02-08,1.055
2016-02-09,0.809
2016-02-10,0.686
2016-02-11,0.684
2016-02-12,0.762
2016-02-13,0.76
2016-02-14,1.117
2016-02-15,0.716
2016-02-16,0.873
2016-02-17,0.593
2016-02-18,0.947
2016-02-19,0.708
2016-02-20,0.824
2016-02-21,0.861
2016-02-22,0.702
2016-02-23,0.622
2016-02-24,0.621
2016-02-25,0.619
2016-02-26,0.617
2016-02-27,0.692
2016-02-28,0.767
2016-02-29,0.765
2016-03-01,1.027
2016-03-02,0.986
2016-03-03,0.53
2016-03-04,0.717
2016-03-05,0.526
2016-03-06,0.9
2016-03-07,0.71
2016-03-08,0.745
2016-03-09,0.632
2016-03-10,0.519
2016-03-11,0.554
2016-03-12,0.737
2016-03-13,0.551
2016-03-14,0.805
2016-03-15,1.058
2016-03-16,1.177
2016-03-17,1.259
2016-03-18,1.476
2016-03-19,1.471
2016-03-20,1.155
2016-03-21,1.271
2016-03-22,1.671
2016-03-23,1.987
2016-03-24,2.234
2016-03-25,2.561
2016-03-26,2.91
2016-03-27,2.625
2016-03-28,2.832
2016-03-29,2.965
2016-03-30,3.183
2016-03-31,3.496
2016-04-01,3.22
2016-04-02,2.994
2016-04-03,3.171
2016-04-04,3.571
2016-04-05,3.724
2016-04-06,3.793
2016-04-07,3.345
2016-04-08,2.488
2016-04-09,1.181
2016-04-10,1.085
2016-04-11,1.919
2016-04-12,2.452
2016-04-13,2.956
2016-04-14,2.328
2016-04-15,3.1
2016-04-16,2.899
2016-04-17,2.705
2016-04-18,2.736
2016-04-19,2.601
2016-04-20,2.572
2016-04-21,2.191
2016-04-22,1.493
2016-04-23,2.0
2016-04-24,2.11
2016-04-25,2.609
2016-04-26,2.433
2016-04-27,2.098
2016-04-28,3.225
2016-04-29,3.228
2016-04-30,4.324
2016-05-01,3.76
2016-05-02,3.948
2016-05-03,3.512
2016-05-04,3.506
2016-05-05,2.715
2016-05-06,1.926
2016-05-07,1.068
2016-05-08,2.489
2016-05-09,3.337
2016-05-10,4.041
2016-05-11,4.124
2016-05-12,4.281
2016-05-13,3.763
2016-05-14,4.143
2016-05-15,4.769
2016-05-16,5.415
2016-05-17,6.082
2016-05-18,6.934
2016-05-19,5.083
2016-05-20,4.542
2016-05-21,3.566
2016-05-22,4.284
2016-05-23,4.237
2016-05-24,4.711
2016-05-25,4.929
2016-05-26,5.684
2016-05-27,5.841
2016-05-28,6.058
2016-05-29,5.926
2016-05-30,5.865
2016-05-31,6.015
2016-06-01,5.202
2016-06-02,5.123
2016-06-03,5.223
2016-06-04,4.505
2016-06-05,4.934
2016-06-06,3.865
2016-06-07,3.405
