time,et
2016-01-01,0.168
2016-01-02,0.215
2016-01-03,0.2
2016-01-04,0.123
2016-01-05,0.108
2016-01-06,0.124
2016-01-07,0.078
2016-01-08,0.093
2016-01-09,0.125
2016-01-10,0.141
2016-01-11,0.172
2016-01-12,0.141
2016-01-13,0.205
2016-01-14,0.095
2016-01-15,0.095
2016-01-16,0.143
2016-01-17,0.095
2016-01-18,0.143
2016-01-19,0.175
2016-01-20,0.144
2016-01-21,0.192
2016-01-22,0.112
2016-01-23,0.209
2016-01-24,0.177
2016-01-25,0.178
2016-01-26,0.146
2016-01-27,0.211
2016-01-28,0.135
2016-01-29,0.088
2016-01-30,0.255
2016-01-31,0.453
2016-02-01,0.535
2016-02-02,0.465
2016-02-03,0.618
2016-02-04,0.472
2016-02-05,0.475
2016-02-06,0.478
2016-02-07,0.506
2016-02-08,0.63
2016-02-09,0.488
2016-02-10,0.417
2016-02-11,0.42
2016-02-12,0.472
2016-02-13,0.475
2016-02-14,0.705
2016-02-15,0.456
2016-02-16,0.561
2016-02-17,0.385
2016-02-18,0.619
2016-02-19,0.467
2016-02-20,0.549
2016-02-21,0.578
2016-02-22,0.476
2016-02-23,0.426
2016-02-24,0.428
2016-02-25,0.431
2016-02-26,0.433
2016-02-27,0.49
2016-02-28,0.548
2016-02-29,0.551
2016-03-01,0.746
2016-03-02,0.723
2016-03-03,0.391
2016-03-04,0.534
2016-03-05,0.396
2016-03-06,0.682
2016-03-07,0.543
2016-03-08,0.575
2016-03-09,0.491
2016-03-10,0.407
2016-03-11,0.438
2016-03-12,0.587
2016-03-13,0.443
2016-03-14,0.653
2016-03-15,0.866
2016-03-16,1.027
2016-03-17,1.159
2016-03-18,1.419
2016-03-19,1.469
2016-03-20,1.191
2016-03-21,1.348
2016-03-22,1.817
2016-03-23,2.208
2016-03-24,2.29
2016-03-25,2.428
2016-03-26,2.558
2016-03-27,2.144
2016-03-28,2.153
2016-03-29,2.104
2016-03-30,2.109
2016-03-31,2.166
2016-04-01,1.95
2016-04-02,1.769
2016-04-03,1.826
2016-04-04,2.0
2016-04-05,2.024
2016-04-06,1.996
2016-04-07,1.7
2016-04-08,1.217
2016-04-09,0.554
2016-04-10,0.487
2016-04-11,0.82
2016-04-12,0.991
2016-04-13,1.124
2016-04-14,0.826
2016-04-15,1.017
2016-04-16,0.87
2016-04-17,0.73
2016-04-18,0.652
2016-04-19,0.533
2016-04-20,0.435
2016-04-21,0.287
2016-04-22,0.135
2016-04-23,0.093
2016-04-24,0.0
2016-04-25,0.345
2016-04-26,0.6
2016-04-27,0.728
2016-04-28,1.405
2016-04-29,1.661
2016-04-30,2.53
2016-05-01,2.438
2016-05-02,2.786
2016-05-03,2.543
2016-05-04,2.603
2016-05-05,2.065
2016-05-06,1.501
2016-05-07,0.852
2016-05-08,2.031
2016-05-09,2.786
2016-05-10,3.448
2016-05-11,3.385
2016-05-12,3.379
2016-05-13,2.857
2016-05-14,3.024
2016-05-15,3.348
2016-05-16,3.656
2016-05-17,3.948
2016-05-18,4.328
2016-05-19,3.198
2016-05-20,2.88
2016-05-21,2.279
2016-05-22,2.758
2016-05-23,2.748
2016-05-24,3.077
2016-05-25,3.242
2016-05-26,3.764
2016-05-27,3.786
2016-05-28,3.835
2016-05-29,3.656
2016-05-30,3.517
2016-05-31,3.495
2016-06-01,2.917
2016-06-02,2.76
2016-06-03,2.69
2016-06-04,2.202
2016-06-05,2.271
2016-06-06,1.657
2016-06-07,1.341
2016-06-08,1.108
2016-06-09,0.974
2016-06-10,0.816
2016-06-11,0.617
2016-06-12,0.788
2016-06-13,0.811
2016-06-14,0.898
2016-06-15,0.843
2016-06-16,1.019
2016-06-17,0.661
2016-06-18,1.321
2016-06-19,1.604
2016-06-20,2.114
2016-06-21,2.664
2016-06-22,2.778
2016-06-23,3.171
2016-06-24,3.457
2016-06-25,4.047
2016-06-26,4.442
2016-06-27,4.635
2016-06-28,5.139
2016-06-29,4.619
2016-06-30,4.853
2016-07-01,4.574
2016-07-02,4.231
2016-07-03,4.452
2016-07-04,4.378
2016-07-05,4.296
2016-07-06,3.997
2016-07-07,3.219
2016-07-08,2.868
2016-07-09,2.203
2016-07-10,1.966
2016-07-11,1.463
2016-07-12,0.808
2016-07-13,0.222
2016-07-14,0.556
2016-07-15,0.797
2016-07-16,1.027
2016-07-17,1.238
2016-07-18,1.379
2016-07-19,1.741
2016-07-20,2.22
2016-07-21,2.353
2016-07-22,2.737
2016-07-23,3.138
2016-07-24,3.255
2016-07-25,3.097
2016-07-26,3.175
2016-07-27,3.506
2016-07-28,3.553
2016-07-29,3.712
2016-07-30,3.019
2016-07-31,2.214
2016-08-01,1.938
2016-08-02,1.827
2016-08-03,1.672
2016-08-04,1.028
2016-08-05,0.806
2016-08-06,0.622
2016-08-07,0.585
2016-08-08,0.544
2016-08-09,0.459
2016-08-10,0.339
2016-08-11,0.258
2016-08-12,0.179
2016-08-13,0.094
2016-08-14,0.0
2016-08-15,0.187
2016-08-16,0.385
2016-08-17,0.602
2016-08-18,0.749
2016-08-19,0.91
2016-08-20,1.093
2016-08-21,1.238
2016-08-22,1.33
2016-08-23,1.64
2016-08-24,2.194
2016-08-25,2.414
2016-08-26,2.294
2016-08-27,2.582
2016-08-28,3.296
2016-08-29,3.744
2016-08-30,4.469
2016-08-31,4.019
2016-09-01,3.517
2016-09-02,3.566
2016-09-03,3.108
2016-09-04,2.832
2016-09-05,2.948
2016-09-06,3.028
2016-09-07,2.822
2016-09-08,2.472
2016-09-09,2.668
2016-09-10,2.916
2016-09-11,2.253
2016-09-12,2.072
2016-09-13,1.977
2016-09-14,2.368
2016-09-15,2.826
2016-09-16,2.661
2016-09-17,2.602
2016-09-18,2.203
2016-09-19,2.315
2016-09-20,1.709
2016-09-21,1.104
2016-09-22,0.976
2016-09-23,0.761
2016-09-24,0.726
2016-09-25,0.513
2016-09-26,0.549
2016-09-27,0.53
2016-09-28,0.478
2016-09-29,0.379
2016-09-30,0.291
2016-10-01,0.266
2016-10-02,0.258
2016-10-03,0.139
2016-10-04,0.317
2016-10-05,0.455
2016-10-06,0.517
2016-10-07,0.483
2016-10-08,0.553
2016-10-09,0.67
2016-10-10,0.694
2016-10-11,0.602
2016-10-12,0.737
2016-10-13,0.607
2016-10-14,0.23
2016-10-15,0.418
2016-10-16,0.332
2016-10-17,0.746
2016-10-18,1.079
2016-10-19,1.296
2016-10-20,1.054
2016-10-21,1.318
2016-10-22,1.325
2016-10-23,1.087
2016-10-24,0.956
2016-10-25,0.515
2016-10-26,1.061
2016-10-27,0.455
2016-10-28,0.468
2016-10-29,0.866
2016-10-30,0.742
2016-10-31,0.812
2016-11-01,0.809
2016-11-02,0.932
2016-11-03,1.005
2016-11-04,0.925
2016-11-05,0.848
2016-11-06,0.729
2016-11-07,0.704
2016-11-08,0.807
2016-11-09,0.859
2016-11-10,0.787
2016-11-11,0.605
2016-11-12,0.689
2016-11-13,0.59
2016-11-14,0.53
2016-11-15,0.505
2016-11-16,0.6
2016-11-17,0.484
2016-11-18,0.538
2016-11-19,0.367
2016-11-20,0.207
2016-11-21,0.34
2016-11-22,0.322
2016-11-23,0.369
2016-11-24,0.314
2016-11-25,0.326
2016-11-26,0.338
2016-11-27,0.506
2016-11-28,0.322
2016-11-29,0.374
2016-11-30,0.386
2016-12-01,0.863
2016-12-02,1.136
2016-12-03,0.61
2016-12-04,0.575
2016-12-05,0.492
2016-12-06,0.6
2016-12-07,0.345
2016-12-08,0.32
2016-12-09,0.296
2016-12-10,0.102
2016-12-11,0.154
2016-12-12,0.223
2016-12-13,0.173
2016-12-14,0.13
2016-12-15,0.037
2016-12-16,0.156
2016-12-17,0.151
2016-12-18,0.104
2016-12-19,0.077
2016-12-20,0.044
2016-12-21,0.045
2016-12-22,0.052
2016-12-23,0.032
2016-12-24,0.067
2016-12-25,0.074
2016-12-26,0.089
2016-12-27,0.08
2016-12-28,0.087
2016-12-29,0.113
2016-12-30,0.08
2016-12-31,0.086
2017-01-01,0.138
2017-01-02,0.136
2017-01-03,0.088
2017-01-04,0.035
2017-01-05,0.098
2017-01-06,0.103
2017-01-07,0.175
2017-01-08,0.156
2017-01-09,0.207
2017-01-10,0.17
2017-01-11,0.177
2017-01-12,0.1
2017-01-13,0.226
2017-01-14,0.142
2017-01-15,0.146
2017-01-16,0.149
2017-01-17,0.114
2017-01-18,0.117
2017-01-19,0.278
2017-01-20,0.223
2017-01-21,0.269
2017-01-22,0.359
2017-01-23,0.258
2017-01-24,0.263
2017-01-25,0.201
2017-01-26,0.273
2017-01-27,0.278
2017-01-28,0.425
2017-01-29,0.432
2017-01-30,0.39
2017-01-31,0.272
2017-02-01,0.22
2017-02-02,0.419
2017-02-03,0.539
2017-02-04,0.431
2017-02-05,0.408
2017-02-06,0.444
2017-02-07,0.48
2017-02-08,0.365
2017-02-09,0.216
2017-02-10,0.406
2017-02-11,0.758
2017-02-12,0.576
2017-02-13,0.454
2017-02-14,0.558
2017-02-15,0.401
2017-02-16,0.715
2017-02-17,0.486
2017-02-18,0.53
2017-02-19,0.395
2017-02-20,0.512
2017-02-21,0.669
2017-02-22,0.756
2017-02-23,0.845
2017-02-24,0.703
2017-02-25,0.397
2017-02-26,0.886
2017-02-27,0.9
2017-02-28,1.079
2017-03-01,1.009
2017-03-02,1.024
2017-03-03,1.056
2017-03-04,1.268
2017-03-05,0.886
2017-03-06,0.863
2017-03-07,0.837
2017-03-08,1.416
2017-03-09,1.556
2017-03-10,1.489
2017-03-11,1.907
2017-03-12,2.065
2017-03-13,1.828
2017-03-14,1.87
2017-03-15,1.613
2017-03-16,1.954
2017-03-17,2.121
2017-03-18,1.975
2017-03-19,1.885
2017-03-20,1.327
2017-03-21,1.759
2017-03-22,1.793
2017-03-23,2.249
2017-03-24,1.217
2017-03-25,1.968
2017-03-26,1.559
2017-03-27,2.644
2017-03-28,3.612
2017-03-29,3.048
2017-03-30,3.338
2017-03-31,4.201
2017-04-01,3.164
2017-04-02,3.778
2017-04-03,4.082
2017-04-04,3.064
2017-04-05,3.105
2017-04-06,1.965
2017-04-07,2.017
2017-04-08,2.067
2017-04-09,2.795
2017-04-10,2.757
2017-04-11,2.058
2017-04-12,2.102
2017-04-13,2.001
2017-04-14,3.1
2017-04-15,2.639
2017-04-16,1.369
2017-04-17,1.348
2017-04-18,2.058
2017-04-19,2.681
2017-04-20,3.038
2017-04-21,3.781
2017-04-22,3.132
2017-04-23,4.003
2017-04-24,2.344
2017-04-25,3.146
2017-04-26,2.094
2017-04-27,4.642
2017-04-28,5.761
2017-04-29,5.837
2017-04-30,5.223
2017-05-01,6.928
2017-05-02,7.017
2017-05-03,5.887
2017-05-04,5.446
2017-05-05,4.785
2017-05-06,4.738
2017-05-07,5.221
2017-05-08,6.145
2017-05-09,6.872
2017-05-10,4.855
2017-05-11,5.134
2017-05-12,5.982
2017-05-13,6.163
2017-05-14,6.142
2017-05-15,6.117
2017-05-16,3.524
2017-05-17,6.051
2017-05-18,6.826
2017-05-19,6.165
2017-05-20,6.401
2017-05-21,6.239
2017-05-22,5.914
2017-05-23,5.4
2017-05-24,3.593
2017-05-25,3.344
2017-05-26,2.724
2017-05-27,2.804
2017-05-28,2.539
2017-05-29,1.84
2017-05-30,1.692
2017-05-31,1.787
2017-06-01,1.612
2017-06-02,1.834
2017-06-03,1.521
2017-06-04,1.464
2017-06-05,1.353
2017-06-06,1.184
2017-06-07,0.987
2017-06-08,0.35
2017-06-09,0.658
2017-06-10,0.909
2017-06-11,0.818
2017-06-12,0.834
2017-06-13,0.981
2017-06-14,1.108
2017-06-15,1.245
2017-06-16,1.474
2017-06-17,1.647
2017-06-18,1.79
2017-06-19,1.871
2017-06-20,2.015
2017-06-21,2.017
2017-06-22,2.336
2017-06-23,1.976
2017-06-24,1.711
2017-06-25,1.624
2017-06-26,1.694
2017-06-27,1.765
2017-06-28,1.972
2017-06-29,2.101
2017-06-30,2.067
2017-07-01,1.822
2017-07-02,1.734
2017-07-03,1.695
2017-07-04,1.655
2017-07-05,1.369
2017-07-06,1.823
2017-07-07,2.111
2017-07-08,1.96
2017-07-09,1.584
2017-07-10,1.358
2017-07-11,1.091
2017-07-12,0.902
2017-07-13,0.82
2017-07-14,0.729
2017-07-15,0.663
2017-07-16,0.501
2017-07-17,0.434
2017-07-18,0.313
2017-07-19,0.27
2017-07-20,0.216
2017-07-21,0.169
2017-07-22,0.11
2017-07-23,0.059
2017-07-24,0.0
2017-07-25,0.083
2017-07-26,0.174
2017-07-27,0.292
2017-07-28,0.408
2017-07-29,0.459
2017-07-30,0.544
2017-07-31,0.65
2017-08-01,0.81
2017-08-02,0.797
2017-08-03,0.936
2017-08-04,0.876
2017-08-05,1.05
2017-08-06,1.19
2017-08-07,1.28
2017-08-08,1.427
2017-08-09,1.388
2017-08-10,1.579
2017-08-11,1.929
2017-08-12,1.998
2017-08-13,1.979
2017-08-14,1.393
2017-08-15,1.71
2017-08-16,1.957
2017-08-17,2.184
2017-08-18,2.073
2017-08-19,1.695
2017-08-20,1.353
2017-08-21,1.046
2017-08-22,1.107
2017-08-23,0.834
2017-08-24,0.522
2017-08-25,0.365
2017-08-26,0.631
2017-08-27,0.901
2017-08-28,1.074
2017-08-29,1.15
2017-08-30,1.324
2017-08-31,1.39
2017-09-01,1.844
2017-09-02,1.917
2017-09-03,2.084
2017-09-04,1.462
2017-09-05,1.437
2017-09-06,1.17
2017-09-07,0.82
2017-09-08,1.065
2017-09-09,1.038
2017-09-10,1.058
2017-09-11,1.092
2017-09-12,0.963
2017-09-13,0.618
2017-09-14,0.613
2017-09-15,0.686
2017-09-16,0.562
2017-09-17,0.591
2017-09-18,0.487
2017-09-19,0.409
2017-09-20,0.315
2017-09-21,0.27
2017-09-22,0.215
2017-09-23,0.208
2017-09-24,0.147
2017-09-25,0.099
2017-09-26,0.058
2017-09-27,0.108
2017-09-28,0.187
2017-09-29,0.216
2017-09-30,0.328
2017-10-01,0.486
2017-10-02,0.58
2017-10-03,0.558
2017-10-04,0.509
2017-10-05,0.669
2017-10-06,0.703
2017-10-07,1.071
2017-10-08,1.174
2017-10-09,1.045
2017-10-10,1.167
2017-10-11,1.347
2017-10-12,1.424
2017-10-13,1.348
2017-10-14,1.132
2017-10-15,1.089
2017-10-16,0.991
2017-10-17,1.304
2017-10-18,1.151
2017-10-19,0.792
2017-10-20,0.572
2017-10-21,0.743
2017-10-22,0.884
2017-10-23,0.597
2017-10-24,0.808
2017-10-25,0.651
2017-10-26,0.712
2017-10-27,0.864
2017-10-28,0.804
2017-10-29,0.571
2017-10-30,0.425
2017-10-31,0.35
2017-11-01,0.365
2017-11-02,0.282
2017-11-03,0.209
2017-11-04,0.099
2017-11-05,0.154
2017-11-06,0.32
2017-11-07,0.43
2017-11-08,0.636
2017-11-09,0.675
2017-11-10,0.715
2017-11-11,0.778
2017-11-12,0.952
2017-11-13,1.142
2017-11-14,1.089
2017-11-15,0.972
2017-11-16,0.307
2017-11-17,0.814
2017-11-18,0.768
2017-11-19,0.464
2017-11-20,0.531
2017-11-21,0.405
2017-11-22,0.458
2017-11-23,0.46
2017-11-24,0.596
2017-11-25,0.317
2017-11-26,0.313
2017-11-27,0.302
2017-11-28,0.262
2017-11-29,0.26
2017-11-30,0.258
2017-12-01,0.241
2017-12-02,0.158
2017-12-03,0.258
2017-12-04,0.349
2017-12-05,0.195
2017-12-06,0.181
2017-12-07,0.181
2017-12-08,0.166
2017-12-09,0.186
2017-12-10,0.242
2017-12-11,0.212
2017-12-12,0.173
2017-12-13,0.171
2017-12-14,0.201
2017-12-15,0.233
2017-12-16,0.705
2017-12-17,0.364
2017-12-18,0.321
2017-12-19,0.226
2017-12-20,0.427
2017-12-21,0.348
2017-12-22,0.208
2017-12-23,0.245
2017-12-24,0.227
2017-12-25,0.295
2017-12-26,0.307
2017-12-27,0.382
2017-12-28,0.297
2017-12-29,0.307
2017-12-30,0.283
2017-12-31,0.255
2018-01-01,0.359
2018-01-02,0.303
2018-01-03,0.312
2018-01-04,0.5
2018-01-05,0.184
2018-01-06,0.302
2018-01-07,0.232
2018-01-08,0.199
2018-01-09,0.163
2018-01-10,0.418
2018-01-11,0.385
2018-01-12,0.394
2018-01-13,0.448
2018-01-14,0.412
2018-01-15,0.328
2018-01-16,0.335
2018-01-17,0.293
2018-01-18,0.349
2018-01-19,0.661
2018-01-20,0.933
2018-01-21,0.634
2018-01-22,0.485
2018-01-23,0.603
2018-01-24,0.67
2018-01-25,0.739
2018-01-26,0.637
2018-01-27,0.883
2018-01-28,0.958
2018-01-29,0.853
2018-01-30,0.929
2018-01-31,1.007
2018-02-01,1.33
2018-02-02,1.129
2018-02-03,1.067
2018-02-04,1.005
2018-02-05,1.165
2018-02-06,1.347
2018-02-07,1.204
2018-02-08,0.98
2018-02-09,1.022
2018-02-10,1.131
2018-02-11,0.829
2018-02-12,0.878
2018-02-13,0.676
2018-02-14,0.55
2018-02-15,0.589
2018-02-16,0.41
2018-02-17,0.31
2018-02-18,0.404
2018-02-19,0.39
2018-02-20,0.25
2018-02-21,0.268
2018-02-22,0.322
2018-02-23,0.333
2018-02-24,0.272
2018-02-25,0.316
2018-02-26,0.318
2018-02-27,0.555
2018-02-28,0.503
2018-03-01,0.565
2018-03-02,0.686
2018-03-03,0.701
2018-03-04,0.958
2018-03-05,1.3
2018-03-06,1.244
2018-03-07,1.284
2018-03-08,1.537
2018-03-09,1.638
2018-03-10,1.068
2018-03-11,1.561
2018-03-12,1.546
2018-03-13,0.916
2018-03-14,1.253
2018-03-15,1.35
2018-03-16,1.45
2018-03-17,1.418
2018-03-18,1.59
2018-03-19,1.981
2018-03-20,1.158
2018-03-21,1.997
2018-03-22,1.361
2018-03-23,2.47
2018-03-24,1.892
2018-03-25,2.252
2018-03-26,3.446
2018-03-27,3.932
2018-03-28,3.411
2018-03-29,3.736
2018-03-30,3.25
2018-03-31,3.619
2018-04-01,3.909
2018-04-02,3.688
2018-04-03,3.472
2018-04-04,2.655
2018-04-05,1.863
2018-04-06,1.172
2018-04-07,2.301
