time,et
2016-01-01,1.042
2016-01-02,1.335
2016-01-03,1.249
2016-01-04,0.774
2016-01-05,0.682
2016-01-06,0.784
2016-01-07,0.494
2016-01-08,0.596
2016-01-09,0.801
2016-01-10,0.907
2016-01-11,1.115
2016-01-12,0.919
2016-01-13,1.336
2016-01-14,0.62
2016-01-15,0.624
2016-01-16,0.943
2016-01-17,0.633
2016-01-18,0.955
2016-01-19,1.174
2016-01-20,0.967
2016-01-21,1.297
2016-01-22,0.761
2016-01-23,1.423
2016-01-24,1.211
2016-01-25,1.219
2016-01-26,1.003
2016-01-27,1.458
2016-01-28,0.866
2016-01-29,0.522
2016-01-30,1.407
2016-01-31,2.318
2016-02-01,2.539
2016-02-02,2.043
2016-02-03,2.512
2016-02-04,1.776
2016-02-05,1.802
2016-02-06,1.828
2016-02-07,1.947
2016-02-08,2.445
2016-02-09,1.907
2016-02-10,1.643
2016-02-11,1.665
2016-02-12,1.886
2016-02-13,1.911
2016-02-14,2.853
2016-02-15,1.858
2016-02-16,2.299
2016-02-17,1.587
2016-02-18,2.571
2016-02-19,1.952
2016-02-20,2.305
2016-02-21,2.443
2016-02-22,2.022
2016-02-23,1.819
2016-02-24,1.84
2016-02-25,1.861
2016-02-26,1.882
2016-02-27,2.14
2016-02-28,2.404
2016-02-29,2.43
2016-03-01,3.309
2016-03-02,3.221
2016-03-03,1.752
2016-03-04,2.403
2016-03-05,1.789
2016-03-06,3.098
2016-03-07,2.478
2016-03-08,2.634
2016-03-09,2.261
2016-03-10,1.88
2016-03-11,2.034
2016-03-12,2.739
2016-03-13,2.073
2016-03-14,3.07
2016-03-15,4.085
2016-03-16,4.107
2016-03-17,3.989
2016-03-18,4.259
2016-03-19,3.879
2016-03-20,2.787
2016-03-21,2.814
2016-03-22,3.399
2016-03-23,3.719
2016-03-24,3.948
2016-03-25,4.288
2016-03-26,4.629
2016-03-27,3.978
2016-03-28,4.099
2016-03-29,4.109
2016-03-30,4.231
2016-03-31,4.465
2016-04-01,4.2
2016-04-02,3.99
2016-04-03,4.319
2016-04-04,4.973
2016-04-05,5.304
2016-04-06,5.528
2016-04-07,4.992
2016-04-08,3.803
2016-04-09,1.85
2016-04-10,1.743
2016-04-11,3.164
2016-04-12,4.151
2016-04-13,5.14
2016-04-14,4.161
2016-04-15,5.702
2016-04-16,5.49
2016-04-17,5.277
2016-04-18,5.504
2016-04-19,5.4
2016-04-20,5.518
2016-04-21,4.862
2016-04-22,3.43
2016-04-23,4.763
2016-04-24,5.213
2016-04-25,5.932
