time,et
2016-01-01,0.706
2016-01-02,0.908
2016-01-03,0.852
2016-01-04,0.53
2016-01-05,0.468
2016-01-06,0.54
2016-01-07,0.341
2016-01-08,0.413
2016-01-09,0.556
2016-01-10,0.632
2016-01-11,0.779
2016-01-12,0.643
2016-01-13,0.938
2016-01-14,0.437
2016-01-15,0.441
2016-01-16,0.667
2016-01-17,0.449
2016-01-18,0.679
2016-01-19,0.837
2016-01-20,0.691
2016-01-21,0.929
2016-01-22,0.547
2016-01-23,1.024
2016-01-24,0.874
2016-01-25,0.881
2016-01-26,0.727
2016-01-27,1.058
2016-01-28,0.655
2016-01-29,0.411
2016-01-30,1.157
2016-01-31,1.992
2016-02-01,2.284
2016-02-02,1.927
2016-02-03,2.49
2016-02-04,1.853
2016-02-05,1.844
2016-02-06,1.834
2016-02-07,1.916
2016-02-08,2.36
2016-02-09,1.806
2016-02-10,1.528
2016-02-11,1.52
2016-02-12,1.69
2016-02-13,1.681
2016-02-14,2.464
2016-02-15,1.576
2016-02-16,1.915
2016-02-17,1.299
2016-02-18,2.067
2016-02-19,1.542
2016-02-20,1.789
2016-02-21,1.864
2016-02-22,1.517
2016-02-23,1.341
2016-02-24,1.333
2016-02-25,1.326
2016-02-26,1.319
2016-02-27,1.475
2016-02-28,1.63
2016-02-29,1.62
2016-03-01,2.17
2016-03-02,2.077
2016-03-03,1.112
2016-03-04,1.5
2016-03-05,1.099
2016-03-06,1.873
2016-03-07,1.474
2016-03-08,1.542
2016-03-09,1.303
2016-03-10,1.067
2016-03-11,1.136
2016-03-12,1.505
2016-03-13,1.122
2016-03-14,1.635
2016-03-15,2.142
2016-03-16,2.268
2016-03-17,2.32
2016-03-18,2.61
2016-03-19,2.505
2016-03-20,1.899
2016-03-21,2.023
2016-03-22,2.581
2016-03-23,2.984
2016-03-24,3.213
2016-03-25,3.539
2016-03-26,3.873
2016-03-27,3.373
2016-03-28,3.521
2016-03-29,3.576
2016-03-30,3.729
2016-03-31,3.984
2016-04-01,3.71
2016-04-02,3.489
2016-04-03,3.738
2016-04-04,4.26
2016-04-05,4.497
2016-04-06,4.638
2016-04-07,4.145
2016-04-08,3.125
2016-04-09,1.503
2016-04-10,1.402
2016-04-11,2.516
2016-04-12,3.265
2016-04-13,4.0
2016-04-14,3.202
2016-04-15,4.338
