time,et
2016-01-01,0.615
2016-01-02,0.788
2016-01-03,0.735
2016-01-04,0.455
2016-01-05,0.4
2016-01-06,0.46
2016-01-07,0.289
2016-01-08,0.349
2016-01-09,0.467
2016-01-10,0.528
2016-01-11,0.649
2016-01-12,0.534
2016-01-13,0.775
2016-01-14,0.359
2016-01-15,0.361
2016-01-16,0.545
2016-01-17,0.365
2016-01-18,0.55
2016-01-19,0.676
2016-01-20,0.556
2016-01-21,0.745
2016-01-22,0.437
2016-01-23,0.815
2016-01-24,0.693
2016-01-25,0.696
2016-01-26,0.572
2016-01-27,0.83
2016-01-28,0.529
2016-01-29,0.342
2016-01-30,0.99
2016-01-31,1.753
2016-02-01,2.062
2016-02-02,1.785
2016-02-03,2.362
2016-02-04,1.8
2016-02-05,1.785
2016-02-06,1.771
2016-02-07,1.844
2016-02-08,2.264
2016-02-09,1.727
2016-02-10,1.455
2016-02-11,1.443
2016-02-12,1.599
2016-02-13,1.585
2016-02-14,2.315
2016-02-15,1.475
2016-02-16,1.787
2016-02-17,1.207
2016-02-18,1.914
2016-02-19,1.422
2016-02-20,1.644
2016-02-21,1.706
2016-02-22,1.383
2016-02-23,1.217
2016-02-24,1.205
2016-02-25,1.194
2016-02-26,1.182
2016-02-27,1.317
2016-02-28,1.448
2016-02-29,1.434
2016-03-01,1.911
2016-03-02,1.822
2016-03-03,0.971
2016-03-04,1.303
2016-03-05,0.95
2016-03-06,1.611
2016-03-07,1.262
2016-03-08,1.313
2016-03-09,1.104
2016-03-10,0.899
2016-03-11,0.952
2016-03-12,1.255
2016-03-13,0.93
2016-03-14,1.348
2016-03-15,1.756
2016-03-16,1.854
2016-03-17,1.892
2016-03-18,2.122
2016-03-19,2.033
2016-03-20,1.537
2016-03-21,1.634
2016-03-22,2.08
2016-03-23,2.4
2016-03-24,2.649
2016-03-25,2.986
2016-03-26,3.341
2016-03-27,2.971
2016-03-28,3.164
2016-03-29,3.275
2016-03-30,3.477
2016-03-31,3.78
2016-04-01,3.507
2016-04-02,3.286
2016-04-03,3.508
2016-04-04,3.983
2016-04-05,4.189
2016-04-06,4.303
2016-04-07,3.83
2016-04-08,2.875
2016-04-09,1.378
2016-04-10,1.279
2016-04-11,2.286
2016-04-12,2.953
2016-04-13,3.6
2016-04-14,2.869
2016-04-15,3.868
2016-04-16,3.664
2016-04-17,3.464
2016-04-18,3.553
2016-04-19,3.427
2016-04-20,3.442
2016-04-21,2.98
2016-04-22,2.065
2016-04-23,2.817
2016-04-24,3.027
2016-04-25,3.567
2016-04-26,3.182
2016-04-27,2.636
2016-04-28,3.906
2016-04-29,3.779
2016-04-30,4.905
2016-05-01,4.143
2016-05-02,4.233
2016-05-03,3.845
2016-05-04,3.918
2016-05-05,3.096
2016-05-06,2.24
2016-05-07,1.267
2016-05-08,3.009
2016-05-09,4.112
2016-05-10,5.072
2016-05-11,5.11
2016-05-12,5.238
2016-05-13,4.548
2016-05-14,4.948
2016-05-15,5.629
2016-05-16,6.32
2016-05-17,7.02
2016-05-18,7.918
2016-05-19,5.761
2016-05-20,5.11
2016-05-21,3.982
2016-05-22,4.75
2016-05-23,4.663
2016-05-24,5.149
2016-05-25,5.35
2016-05-26,6.126
2016-05-27,6.293
2016-05-28,6.525
2016-05-29,6.379
2016-05-30,6.311
2016-05-31,6.469
2016-06-01,5.591
2016-06-02,5.503
2016-06-03,5.608
2016-06-04,4.833
2016-06-05,5.289
2016-06-06,4.14
2016-06-07,3.644
2016-06-08,3.338
2016-06-09,3.343
2016-06-10,3.324
2016-06-11,3.192
2016-06-12,3.487
2016-06-13,3.152
2016-06-14,3.126
2016-06-15,2.667
2016-06-16,2.964
2016-06-17,1.784
2016-06-18,3.336
2016-06-19,3.812
2016-06-20,4.489
2016-06-21,5.155
2016-06-22,4.974
2016-06-23,5.313
2016-06-24,5.47
2016-06-25,6.09
2016-06-26,6.393
2016-06-27,6.413
2016-06-28,6.869
2016-06-29,5.969
2016-06-30,6.068
2016-07-01,5.535
2016-07-02,4.96
2016-07-03,5.057
2016-07-04,4.822
2016-07-05,4.591
2016-07-06,4.631
2016-07-07,4.112
2016-07-08,4.132
2016-07-09,3.699
2016-07-10,4.049
2016-07-11,4.048
2016-07-12,3.66
2016-07-13,3.706
2016-07-14,3.957
2016-07-15,3.684
2016-07-16,3.569
2016-07-17,3.487
2016-07-18,3.298
2016-07-19,3.64
2016-07-20,4.15
2016-07-21,3.998
2016-07-22,4.86
2016-07-23,5.801
2016-07-24,6.24
2016-07-25,6.142
2016-07-26,6.494
2016-07-27,7.378
2016-07-28,7.677
2016-07-29,8.22
2016-07-30,6.808
2016-07-31,5.101
2016-08-01,4.586
2016-08-02,4.47
2016-08-03,4.275
2016-08-04,2.788
2016-08-05,2.382
2016-08-06,2.104
2016-08-07,2.039
2016-08-08,1.968
2016-08-09,1.747
2016-08-10,1.385
2016-08-11,1.173
2016-08-12,0.981
2016-08-13,0.779
2016-08-14,0.532
2016-08-15,0.844
2016-08-16,1.255
2016-08-17,1.71
2016-08-18,1.974
2016-08-19,2.285
2016-08-20,2.651
2016-08-21,2.93
2016-08-22,3.089
2016-08-23,3.363
2016-08-24,4.102
2016-08-25,4.202
2016-08-26,3.772
2016-08-27,4.053
2016-08-28,4.977
2016-08-29,5.47
2016-08-30,6.348
2016-08-31,5.841
2016-09-01,5.239
2016-09-02,5.453
2016-09-03,4.891
2016-09-04,4.597
2016-09-05,4.951
2016-09-06,5.278
2016-09-07,5.126
2016-09-08,4.464
2016-09-09,4.791
2016-09-10,5.207
2016-09-11,4.003
2016-09-12,3.663
2016-09-13,3.478
2016-09-14,4.148
2016-09-15,4.927
2016-09-16,4.926
2016-09-17,5.159
2016-09-18,4.73
2016-09-19,5.457
2016-09-20,4.51
2016-09-21,3.345
2016-09-22,3.532
2016-09-23,3.498
2016-09-24,3.535
2016-09-25,2.659
2016-09-26,3.06
2016-09-27,3.206
2016-09-28,3.173
2016-09-29,2.812
2016-09-30,2.467
2016-10-01,2.649
2016-10-02,2.198
2016-10-03,1.036
2016-10-04,2.114
2016-10-05,2.755
2016-10-06,2.87
2016-10-07,2.49
2016-10-08,2.664
2016-10-09,3.036
2016-10-10,2.895
2016-10-11,2.345
2016-10-12,2.716
2016-10-13,2.131
2016-10-14,0.777
2016-10-15,1.359
2016-10-16,1.045
2016-10-17,2.284
2016-10-18,3.207
2016-10-19,3.743
2016-10-20,2.96
2016-10-21,3.605
2016-10-22,3.533
2016-10-23,2.831
2016-10-24,2.432
2016-10-25,1.28
