time,et
2016-01-01,0.604
2016-01-02,0.767
2016-01-03,0.711
2016-01-04,0.437
2016-01-05,0.382
2016-01-06,0.435
2016-01-07,0.272
2016-01-08,0.325
2016-01-09,0.433
2016-01-10,0.486
2016-01-11,0.594
2016-01-12,0.485
2016-01-13,0.699
2016-01-14,0.322
2016-01-15,0.322
2016-01-16,0.482
2016-01-17,0.32
2016-01-18,0.48
2016-01-19,0.586
2016-01-20,0.478
2016-01-21,0.637
2016-01-22,0.371
2016-01-23,0.687
2016-01-24,0.581
2016-01-25,0.58
2016-01-26,0.473
2016-01-27,0.682
2016-01-28,0.424
2016-01-29,0.268
2016-01-30,0.758
2016-01-31,1.314
2016-02-01,1.514
2016-02-02,1.285
2016-02-03,1.668
2016-02-04,1.248
2016-02-05,1.249
2016-02-06,1.251
2016-02-07,1.315
2016-02-08,1.63
2016-02-09,1.255
2016-02-10,1.068
2016-02-11,1.07
2016-02-12,1.197
2016-02-13,1.198
2016-02-14,1.768
2016-02-15,1.138
2016-02-16,1.392
2016-02-17,0.95
2016-02-18,1.523
2016-02-19,1.143
2016-02-20,1.335
2016-02-21,1.401
2016-02-22,1.147
2016-02-23,1.021
2016-02-24,1.022
2016-02-25,1.023
2016-02-26,1.025
2016-02-27,1.154
2016-02-28,1.284
2016-02-29,1.285
2016-03-01,1.733
2016-03-02,1.671
2016-03-03,0.901
2016-03-04,1.224
2016-03-05,0.903
2016-03-06,1.549
2016-03-07,1.228
2016-03-08,1.294
2016-03-09,1.101
2016-03-10,0.908
2016-03-11,0.974
2016-03-12,1.3
2016-03-13,0.976
2016-03-14,1.433
2016-03-15,1.892
2016-03-16,2.014
2016-03-17,2.072
2016-03-18,2.342
2016-03-19,2.26
2016-03-20,1.721
2016-03-21,1.841
2016-03-22,2.359
2016-03-23,2.739
2016-03-24,2.963
2016-03-25,3.278
2016-03-26,3.604
2016-03-27,3.152
2016-03-28,3.304
2016-03-29,3.369
2016-03-30,3.526
2016-03-31,3.782
2016-04-01,3.488
2016-04-02,3.248
2016-04-03,3.445
2016-04-04,3.886
2016-04-05,4.058
2016-04-06,4.14
2016-04-07,3.658
2016-04-08,2.725
2016-04-09,1.296
2016-04-10,1.193
2016-04-11,2.114
2016-04-12,2.707
2016-04-13,3.271
2016-04-14,2.582
2016-04-15,3.447
2016-04-16,3.232
2016-04-17,3.023
2016-04-18,3.066
2016-04-19,2.924
2016-04-20,2.901
2016-04-21,2.48
2016-04-22,1.696
2016-04-23,2.281
2016-04-24,2.416
2016-04-25,2.941
2016-04-26,2.704
2016-04-27,2.302
2016-04-28,3.5
2016-04-29,3.469
2016-04-30,4.605
2016-05-01,3.971
2016-05-02,4.138
2016-05-03,3.778
2016-05-04,3.869
2016-05-05,3.071
