time,et
2016-01-01,9.0
2016-02-01,31.0
2016-03-01,56.0
2016-04-01,65.0
2016-05-01,135.0
2016-06-01,134.0
2016-07-01,122.0
2016-08-01,85.0
2016-09-01,80.0
2016-10-01,29.0
2016-11-01,27.0
2016-12-01,13.0
2017-01-01,18.0
2017-02-01,20.0
2017-03-01,54.0
2017-04-01,92.0
2017-05-01,167.0
2017-06-01,130.0
2017-07-01,115.0
2017-08-01,93.0
2017-09-01,47.0
2017-10-01,34.0
2017-11-01,36.0
2017-12-01,6.0
2018-01-01,11.0
2018-02-01,23.0
2018-03-01,54.0
2018-04-01,92.0
2018-05-01,109.0
2018-06-01,114.0
2018-07-01,113.0
2018-08-01,105.0
2018-09-01,50.0
2018-10-01,34.0
2018-11-01,17.0
2018-12-01,4.0
2019-01-01,22.333
2019-02-01,40.667
2019-03-01,59.0
2019-04-01,89.0
2019-05-01,121.0
2019-06-01,152.0
2019-07-01,106.0
2019-08-01,79.0
2019-09-01,56.0
2019-10-01,21.0
2019-11-01,17.0
2019-12-01,8.0
2020-01-01,17.0
2020-02-01,45.0
2020-03-01,53.0
2020-04-01,79.0
2020-05-01,100.0
2020-06-01,80.0
2020-07-01,114.0
2020-08-01,111.0
2020-09-01,78.0
2020-10-01,25.0
2020-11-01,9.0
2020-12-01,15.0
