time,et
2016-01-01,6.0
2016-02-01,22.0
2016-03-01,44.0
2016-04-01,85.0
2016-05-01,136.0
2016-06-01,125.0
2016-07-01,143.0
2016-08-01,109.0
2016-09-01,115.0
2016-10-01,58.0
2016-11-01,48.0
2016-12-01,20.0
2017-01-01,16.0
2017-02-01,28.0
2017-03-01,70.0
2017-04-01,96.0
2017-05-01,156.0
2017-06-01,101.0
2017-07-01,115.0
2017-08-01,94.0
2017-09-01,63.0
2017-10-01,67.0
2017-11-01,29.0
2017-12-01,23.0
2018-01-01,25.0
2018-02-01,50.0
2018-03-01,73.0
2018-04-01,102.0
2018-05-01,120.0
2018-06-01,97.0
2018-07-01,126.0
2018-08-01,129.0
2018-09-01,111.0
2018-10-01,90.0
2018-11-01,38.0
2018-12-01,7.0
2019-01-01,23.0
2019-02-01,44.0
2019-03-01,73.0
2019-04-01,91.0
2019-05-01,111.0
2019-06-01,133.0
2019-07-01,94.0
2019-08-01,88.0
2019-09-01,80.0
2019-10-01,60.0
2019-11-01,41.0
2019-12-01,18.0
2020-01-01,19.0
2020-02-01,63.0
2020-03-01,64.0
2020-04-01,103.0
2020-05-01,128.0
2020-06-01,73.0
2020-07-01,123.0
2020-08-01,169.0
2020-09-01,112.0
2020-10-01,64.0
2020-11-01,33.0
2020-12-01,21.0
