time,et
2016-01-01,17.0
2016-02-01,38.0
2016-03-01,64.0
2016-04-01,90.0
2016-05-01,151.0
2016-06-01,144.0
2016-07-01,146.0
2016-08-01,103.0
2016-09-01,111.0
2016-10-01,57.0
2016-11-01,47.0
2016-12-01,22.0
2017-01-01,21.0
2017-02-01,35.0
2017-03-01,77.0
2017-04-01,106.0
2017-05-01,163.0
2017-06-01,125.0
2017-07-01,115.0
2017-08-01,103.0
2017-09-01,62.0
2017-10-01,65.0
2017-11-01,36.0
2017-12-01,16.0
2018-01-01,24.0
2018-02-01,59.0
2018-03-01,75.0
2018-04-01,107.0
2018-05-01,118.0
2018-06-01,117.0
2018-07-01,135.0
2018-08-01,130.0
2018-09-01,112.0
2018-10-01,71.0
2018-11-01,40.0
2018-12-01,20.0
2019-01-01,28.0
2019-02-01,43.0
2019-03-01,76.0
2019-04-01,91.0
2019-05-01,121.0
2019-06-01,147.0
2019-07-01,106.0
2019-08-01,88.0
2019-09-01,82.0
2019-10-01,66.0
2019-11-01,29.0
2019-12-01,20.0
2020-01-01,27.0
2020-02-01,65.0
2020-03-01,68.0
2020-04-01,102.0
2020-05-01,134.0
2020-06-01,85.0
2020-07-01,116.0
2020-08-01,149.0
2020-09-01,108.0
2020-10-01,63.0
2020-11-01,29.0
2020-12-01,18.0
