time,et
2016-01-01,4.0
2016-02-01,12.0
2016-03-01,35.0
2016-04-01,28.0
2016-05-01,95.0
2016-06-01,74.0
2016-07-01,81.0
2016-08-01,44.0
2016-09-01,60.0
2016-10-01,26.0
2016-11-01,18.0
2016-12-01,7.0
2017-01-01,5.0
2017-02-01,16.0
2017-03-01,59.0
2017-04-01,87.0
2017-05-01,152.0
2017-06-01,50.0
2017-07-01,21.0
2017-08-01,46.0
2017-09-01,23.0
2017-10-01,25.0
2017-11-01,14.0
2017-12-01,4.0
2018-01-01,18.0
2018-02-01,19.0
2018-03-01,59.0
2018-04-01,93.0
2018-05-01,83.0
2018-06-01,60.0
2018-07-01,58.0
2018-08-01,74.0
2018-09-01,82.0
2018-10-01,39.0
2018-11-01,13.0
2018-12-01,4.0
2019-01-01,18.0
2019-02-01,33.0
2019-03-01,68.0
2019-04-01,74.0
2019-05-01,97.0
2019-06-01,94.0
2019-07-01,29.0
2019-08-01,11.0
2019-09-01,27.0
2019-10-01,23.0
2019-11-01,14.0
2019-12-01,10.0
2020-01-01,22.0
2020-02-01,24.0
2020-03-01,30.0
2020-04-01,79.0
2020-05-01,57.0
2020-06-01,12.0
2020-07-01,45.0
2020-08-01,71.0
2020-09-01,46.0
2020-10-01,8.0
2020-11-01,12.0
2020-12-01,3.0
