time,et
2016-01-01,32.0
2016-02-01,59.0
2016-03-01,102.0
2016-04-01,142.0
2016-05-01,165.0
2016-06-01,160.0
2016-07-01,150.0
2016-08-01,110.0
2016-09-01,107.0
2016-10-01,82.0
2016-11-01,46.0
2016-12-01,32.0
2017-01-01,33.0
2017-02-01,58.0
2017-03-01,102.0
2017-04-01,130.0
2017-05-01,180.0
2017-06-01,137.0
2017-07-01,124.0
2017-08-01,113.0
2017-09-01,82.0
2017-10-01,67.0
2017-11-01,41.0
2017-12-01,27.0
2018-01-01,35.0
2018-02-01,61.0
2018-03-01,86.0
2018-04-01,127.0
2018-05-01,161.0
2018-06-01,161.0
2018-07-01,139.0
2018-08-01,131.0
2018-09-01,111.0
2018-10-01,65.0
2018-11-01,36.0
2018-12-01,34.0
2019-01-01,30.0
2019-02-01,39.0
2019-03-01,95.0
2019-04-01,132.0
2019-05-01,145.0
2019-06-01,168.0
2019-07-01,113.0
2019-08-01,92.0
2019-09-01,95.0
2019-10-01,61.0
2019-11-01,37.0
2019-12-01,25.0
2020-01-01,34.0
2020-02-01,69.0
2020-03-01,82.0
2020-04-01,133.0
2020-05-01,136.0
2020-06-01,100.0
2020-07-01,116.0
2020-08-01,131.0
2020-09-01,105.0
2020-10-01,71.0
2020-11-01,46.0
2020-12-01,24.0
