time,et
2016-01-01,31.0
2016-02-01,56.0
2016-03-01,84.0
2016-04-01,118.0
2016-05-01,163.0
2016-06-01,167.0
2016-07-01,166.0
2016-08-01,122.0
2016-09-01,125.0
2016-10-01,78.0
2016-11-01,45.0
2016-12-01,35.0
2017-01-01,36.0
2017-02-01,52.0
2017-03-01,91.0
2017-04-01,115.0
2017-05-01,154.0
2017-06-01,143.0
2017-07-01,148.0
2017-08-01,125.0
2017-09-01,95.0
2017-10-01,88.0
2017-11-01,43.0
2017-12-01,29.0
2018-01-01,33.0
2018-02-01,67.0
2018-03-01,92.0
2018-04-01,119.0
2018-05-01,130.0
2018-06-01,148.0
2018-07-01,159.0
2018-08-01,141.0
2018-09-01,115.0
2018-10-01,98.0
2018-11-01,46.0
2018-12-01,38.0
2019-01-01,38.0
2019-02-01,53.0
2019-03-01,86.0
2019-04-01,107.0
2019-05-01,135.0
2019-06-01,153.0
2019-07-01,128.0
2019-08-01,118.0
2019-09-01,95.0
2019-10-01,78.0
2019-11-01,36.0
2019-12-01,36.0
2020-01-01,37.0
2020-02-01,75.0
2020-03-01,94.0
2020-04-01,112.0
2020-05-01,140.0
2020-06-01,115.0
2020-07-01,136.0
2020-08-01,161.0
2020-09-01,126.0
2020-10-01,89.0
2020-11-01,44.0
2020-12-01,34.0
