time,et
2016-01-01,19.0
2016-02-01,48.0
2016-03-01,60.0
2016-04-01,99.0
2016-05-01,155.0
2016-06-01,135.0
2016-07-01,151.0
2016-08-01,90.0
2016-09-01,127.0
2016-10-01,71.0
2016-11-01,49.0
2016-12-01,24.0
2017-01-01,20.0
2017-02-01,36.0
2017-03-01,84.0
2017-04-01,117.0
2017-05-01,169.0
2017-06-01,114.0
2017-07-01,107.0
2017-08-01,91.0
2017-09-01,60.0
2017-10-01,71.0
2017-11-01,30.0
2017-12-01,9.0
2018-01-01,23.0
2018-02-01,59.0
2018-03-01,83.0
2018-04-01,107.0
2018-05-01,111.0
2018-06-01,122.0
2018-07-01,139.0
2018-08-01,145.0
2018-09-01,112.0
2018-10-01,100.0
2018-11-01,40.0
2018-12-01,30.0
2019-01-01,31.0
2019-02-01,44.0
2019-03-01,74.0
2019-04-01,96.0
2019-05-01,115.0
2019-06-01,131.0
2019-07-01,90.0
2019-08-01,93.0
2019-09-01,86.0
2019-10-01,65.0
2019-11-01,28.0
2019-12-01,22.0
2020-01-01,30.0
2020-02-01,74.0
2020-03-01,87.0
2020-04-01,103.0
2020-05-01,130.0
2020-06-01,58.0
2020-07-01,112.0
2020-08-01,171.0
2020-09-01,120.0
2020-10-01,66.0
2020-11-01,27.0
2020-12-01,9.0
